idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,agent8_x,agent8_y,agent8_phi,agent8_has_message,agent9_x,agent9_y,agent9_phi,agent9_has_message,agent10_x,agent10_y,agent10_phi,agent10_has_message,file_idx,file
1,0,10.60209932168471,True,False,1.2071635742038858,4.086330785241628,2.390276183045581,False,2.8638359041002426,5.46746000583162,4.557156215107045,False,3.4385459520484924,-4.8221128368687625,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
2,1,10.60209932168471,True,False,1.1820827693613958,3.8879096340796293,2.390276183045581,False,2.8638359041002426,5.46746000583162,4.557156215107045,False,3.4385459520484924,-4.8221128368687625,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
3,2,10.60209932168471,True,False,1.1570019645189058,3.68948848291763,2.390276183045581,False,2.850910308696192,5.2678781204225205,4.557156215107045,False,3.4385459520484924,-4.8221128368687625,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
4,3,10.60209932168471,True,False,1.1319211596764158,3.491067331755631,2.390276183045581,False,2.8379847132921414,5.068296235013421,4.557156215107045,False,3.4385459520484924,-4.8221128368687625,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
5,4,10.60209932168471,True,False,1.1068403548339258,3.292646180593632,2.390276183045581,False,2.825059117888091,4.868714349604322,4.557156215107045,False,3.4385459520484924,-4.8221128368687625,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
6,5,10.60209932168471,True,False,1.0817595499914359,3.094225029431633,2.390276183045581,False,2.8121335224840402,4.669132464195223,4.557156215107045,False,3.451471547452543,-4.622530951459663,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
7,6,10.60209932168471,True,False,1.0566787451489459,2.895803878269634,2.390276183045581,False,2.79920792707999,4.469550578786124,4.557156215107045,False,3.4643971428565936,-4.422949066050564,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
8,7,10.60209932168471,True,False,1.0315979403064557,2.6973827271076347,2.390276183045581,False,2.78628233167594,4.269968693377025,4.557156215107045,False,3.477322738260644,-4.223367180641465,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
9,8,10.60209932168471,True,False,1.0065171354639657,2.4989615759456356,2.390276183045581,False,2.7733567362718894,4.0703868079679255,4.557156215107045,False,3.490248333664695,-4.023785295232366,4.10836131360906,False,5.424480682346011,4.415630168359447,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.6881963754372435,-4.260997433045175,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
10,9,10.60209932168471,True,False,0.9814363306214756,2.3005404247836365,2.390276183045581,False,2.760431140867839,3.8708049225588264,4.557156215107045,False,3.503173929068745,-3.8242034098232667,4.10836131360906,False,5.405198139269642,4.216561879743435,1.122000201220677,False,6.28739160498965,4.016544885733838,0.0365970104027359,False,6.220254013831441,0.3822223107541258,2.646407369111764,False,7.703385058262397,-4.061575007239959,1.6493029223637636,False,5.999532791225423,-5.97639997270966,,False,7.685280858830145,-4.644073201865457,,False,8.421666397344154,5.239584461567573,,False,2,evaluation_states_K10_n10000.csv
