idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,file_idx,file
1,0,3.047286498801027,True,False,2.6235788711612726,1.4026718613830036,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
2,1,3.047286498801027,True,False,2.459756717175153,1.2879447858369577,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
3,2,3.047286498801027,True,False,2.2959345631890336,1.1732177102909118,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
4,3,3.047286498801027,True,False,2.132112409202914,1.058490634744866,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
5,4,3.047286498801027,True,False,1.9682902552167945,0.94376355919882,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
6,5,3.047286498801027,True,False,1.804468101230675,0.8290364836527742,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
7,6,3.047286498801027,True,False,1.6406459472445554,0.7143094081067283,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
8,7,3.047286498801027,True,False,1.4768237932584358,0.5995823325606824,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
9,8,3.047286498801027,True,False,1.3130016392723163,0.48485525701463655,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
10,9,3.047286498801027,True,False,1.1491794852861967,0.3701281814685907,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
11,10,3.047286498801027,True,False,0.985357331300077,0.255401105922545,5.960540267916768,False,0,evaluation_states_K1_n10000.csv
12,11,3.047286498801027,True,False,0.9696706053843879,0.24441545993139374,5.960540267916768,True,0,evaluation_states_K1_n10000.csv
13,12,3.047286498801027,True,False,1.168300836514099,0.22104814769062642,5.960540267916768,True,0,evaluation_states_K1_n10000.csv
14,13,3.047286498801027,True,False,1.3669310676438102,0.19768083544985907,5.960540267916768,True,0,evaluation_states_K1_n10000.csv
15,14,3.047286498801027,True,False,1.5655612987735215,0.17431352320909171,5.960540267916768,True,0,evaluation_states_K1_n10000.csv
16,15,3.047286498801027,True,False,1.7641915299032327,0.1509462109683244,0.07005404243590618,True,0,evaluation_states_K1_n10000.csv
