idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,file_idx,file
1,0,5.854683491379884,True,False,0.769975732854542,1.138504755101455,0.1538794649891734,False,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
2,1,5.854683491379884,True,False,0.7652258939940146,0.9385611654797845,0.1538794649891734,False,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
3,2,5.854683491379884,True,False,0.7604760551334871,0.7386175758581139,0.1538794649891734,False,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
4,3,5.854683491379884,True,False,0.7584130147059743,0.651774270069474,0.1538794649891734,True,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
5,4,5.854683491379884,True,False,0.9567971634816954,0.6264024448585722,0.1538794649891734,True,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
6,5,5.854683491379884,True,False,1.1551813122574166,0.6010306196476705,0.1538794649891734,True,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
7,6,5.854683491379884,True,False,1.3535654610331378,0.5756587944367687,0.1538794649891734,True,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
8,7,5.854683491379884,True,False,1.551949609808859,0.550286969225867,0.1538794649891734,True,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
9,8,5.854683491379884,True,False,1.7503337585845802,0.5249151440149652,0.1538794649891734,True,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
10,9,5.854683491379884,True,False,1.9487179073603014,0.4995433188040634,0.1538794649891734,True,4.002737997742289,-0.837242160964251,3.70395069503856,False,6,evaluation_states_K2_n10000.csv
11,10,5.854683491379884,True,False,2.1471020561360223,0.4741714935931616,0.1538794649891734,True,4.028109822953191,-0.6388580121885299,3.3112516133398358,False,6,evaluation_states_K2_n10000.csv
12,11,5.854683491379884,True,False,2.3454862049117433,0.44879966838225976,0.1538794649891734,True,4.053481648164093,-0.4404738634128088,2.9185525316411116,False,6,evaluation_states_K2_n10000.csv
13,12,5.854683491379884,True,False,2.5438703536874643,0.42342784317135795,0.1538794649891734,True,4.078853473374995,-0.24208971463708767,2.5258534499423875,False,6,evaluation_states_K2_n10000.csv
14,13,5.854683491379884,True,False,2.7422545024631853,0.39805601796045614,6.044365690470036,True,4.104225298585896,-0.043705565861366535,2.1331543682436633,True,6,evaluation_states_K2_n10000.csv
15,14,5.854683491379884,True,False,2.940638651238906,0.37268419274955433,5.651666608771311,True,4.30416298725726,-0.03871350729271947,1.7404552865449392,True,6,evaluation_states_K2_n10000.csv
16,15,5.854683491379884,True,False,2.940638651238906,0.37268419274955433,5.651666608771311,True,4.5041006759286235,-0.0337214487240724,1.347756204846215,True,6,evaluation_states_K2_n10000.csv
17,16,5.854683491379884,True,False,2.940638651238906,0.37268419274955433,5.651666608771311,True,4.704038364599987,-0.028729390155425333,0.9550571231474909,True,6,evaluation_states_K2_n10000.csv
18,17,5.854683491379884,True,False,2.940638651238906,0.37268419274955433,5.651666608771311,True,4.903976053271351,-0.023737331586778265,0.5623580414487668,True,6,evaluation_states_K2_n10000.csv
