idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,file_idx,file
1,0,9.730701163461111,True,False,0.3250077186398759,1.0031549260213597,4.886842770919169,False,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
2,1,9.730701163461111,True,False,0.4238083477132265,0.9057518889897966,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
3,2,9.730701163461111,True,False,0.6228678940817285,0.8863793052806939,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
4,3,9.730701163461111,True,False,0.8219274404502306,0.8670067215715911,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
5,4,9.730701163461111,True,False,1.0209869868187327,0.8476341378624883,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
6,5,9.730701163461111,True,False,1.2200465331872348,0.8282615541533855,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
7,6,9.730701163461111,True,False,1.4191060795557369,0.8088889704442828,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
8,7,9.730701163461111,True,False,1.618165625924239,0.78951638673518,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
9,8,9.730701163461111,True,False,1.817225172292741,0.7701438030260772,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
10,9,9.730701163461111,True,False,2.016284718661243,0.7507712193169745,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
11,10,9.730701163461111,True,False,2.2153442650297452,0.7313986356078719,4.886842770919169,True,4.69257256734,-0.156592455671594,6.275461656051455,False,8.309554781937258,0.0552283622143591,3.092330549937399,False,1.6697778052923913,-3.9471092618287065,,False,3.551150903437915,-3.746156005625047,,False,2.394706573596257,5.126099844924286,,False,3.450659117931444,4.887972569501311,,False,979,evaluation_states_K7_n10000.csv
