idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,file_idx,file
1,0,8.749716871483496,True,False,0.594576686216048,0.8101708177872141,4.239027738828328,False,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
2,1,8.749716871483496,True,False,0.5981512143844708,0.8013832570813935,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
3,2,8.749716871483496,True,False,0.7971916717857059,0.7818155204338624,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
4,3,8.749716871483496,True,False,0.996232129186941,0.7622477837863313,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
5,4,8.749716871483496,True,False,1.1952725865881761,0.7426800471388002,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
6,5,8.749716871483496,True,False,1.3943130439894111,0.7231123104912691,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
7,6,8.749716871483496,True,False,1.5933535013906461,0.703544573843738,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
8,7,8.749716871483496,True,False,1.7923939587918811,0.6839768371962069,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
9,8,8.749716871483496,True,False,1.9914344161931161,0.664409100548676,4.239027738828328,True,4.17327164967829,-0.690342488465795,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
10,9,8.749716871483496,True,False,2.190474873594351,0.644841363901145,4.239027738828328,True,4.19283938632582,-0.49130203106456,1.4734406875477817,False,-0.3137596246160266,-1.3693669283980368,,False,-0.6419594690705672,1.1653267637127884,,False,2.2345786295847843,-4.700506757753796,,False,49,evaluation_states_K5_n10000.csv
