idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,file_idx,file
1,0,5.064274342191515,True,False,1.74777881497146,-0.6742066966263336,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
2,1,5.064274342191515,True,False,1.574271322895988,-0.574732327094881,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
3,2,5.064274342191515,True,False,1.400763830820516,-0.4752579575634283,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
4,3,5.064274342191515,True,False,1.227256338745044,-0.37578358803197565,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
5,4,5.064274342191515,True,False,1.053748846669572,-0.27630921850052304,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
6,5,5.064274342191515,True,False,0.9731648101925273,-0.23010921798776837,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
7,6,5.064274342191515,True,False,1.1728491957637768,-0.21887773727360704,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
8,7,5.064274342191515,True,False,1.3725335813350261,-0.2076462565594457,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
9,8,5.064274342191515,True,False,1.5722179669062757,-0.19641477584528438,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
10,9,5.064274342191515,True,False,1.7719023524775253,-0.18518329513112305,3.7139233741469746,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
11,10,5.064274342191515,True,False,1.9715867380487748,-0.17395181441696173,4.106622455845699,True,4.527405868397622,-1.0114667325799283,2.493393388707208,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
12,11,5.064274342191515,True,False,2.1712711236200244,-0.1627203337028004,4.499321537544423,True,4.44008643320601,-0.8315353116501255,2.100694307008484,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
13,12,5.064274342191515,True,False,2.370955509191274,-0.15148885298863907,4.892020619243148,True,4.352766998014398,-0.6516038907203228,1.7079952253097597,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
14,13,5.064274342191515,True,False,2.5706398947625235,-0.14025737227447774,5.2847197009418725,True,4.265447562822786,-0.47167246979052,1.3152961436110355,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
15,14,5.064274342191515,True,False,2.770324280333773,-0.1290258915603164,5.677418782640597,True,4.178128127631174,-0.29174104886071717,0.9225970619123114,False,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
16,15,5.064274342191515,True,False,2.9700086659050227,-0.11779441084615506,6.07011786433932,True,4.090808692439562,-0.11180962793091448,0.5298979802135872,True,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
17,16,5.064274342191515,True,False,2.9700086659050227,-0.11779441084615506,6.07011786433932,True,4.090808692439562,-0.11180962793091448,0.1371988985148631,True,5.127577494164665,0.6593235400831936,,False,2,evaluation_states_K3_n10000.csv
