idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
7065,6.672824831994065,1.8349343052509282,4.027062112104765,6.4,32,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7066,6.378006296390218,2.5684950983462094,3.899131442692809,4.319708518519814,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7067,7.9622213786176035,2.9042591774942172,4.606585294267878,5.963949070366005,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7068,5.933949990610428,1.9939510488377286,3.709656880171617,5.600000000000003,26,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7069,6.401449364003899,2.0721463366879207,3.9092417616164417,5.000000000000002,33,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7070,6.047326961175237,2.4008832406252605,3.7576663880603256,4.8000000000000025,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7071,6.693199346736533,2.027053845679198,4.035966154165245,8.898681738933888,28,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7072,7.9838595060691055,1.7386248786352645,4.616588581251931,9.000000000000012,49,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7073,5.530204550019281,2.2289327257999934,3.5407365402820616,4.199999999999999,21,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7074,7.413553335343937,1.9317141372241238,4.356002562118746,6.600000000000001,36,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7075,6.969818940219263,2.4089140520148447,4.157659047545119,6.243800423134849,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7076,6.237550060136636,2.3166175971991794,3.8387822854549922,4.616889102732884,26,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7077,7.286298581271252,2.444065181418625,4.298726721566506,5.2,27,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7078,5.096152690386633,1.8436833519412783,3.3626996750012452,5.200000000000003,22,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7079,6.274809269439613,1.7749828718969425,3.85475359583474,6.000000000000003,30,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7080,6.3003132851467605,2.2105304460555644,3.865701679539523,5.5739152877375355,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7081,4.495760305268977,2.385865911780804,3.1225197546256167,3.0000000000000018,15,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7082,5.559044315765759,1.8452149858765883,3.552696673459612,9.221958945252874,25,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7083,5.469505709329296,2.087737728091266,3.51561739021834,6.158753290687362,26,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7084,4.741413090830148,2.2490675805572846,3.2199364034768907,3.35730664981223,16,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7085,7.6614288995707955,2.6475438180320534,4.46847949758343,4.200000000000001,29,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7086,6.611003744202634,1.8387041015027246,4.000094936347706,9.227154169005635,31,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
7087,6.177086363124646,1.9855227347271098,3.8129221736603096,8.138812924571832,26,False,True,True,False,4,Evaluation/Evaluation_states/Data/evaluation_states_K4_n10000.csv
