idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,jammer_x,jammer_y,file_idx,file
1,0,10.75356290361326,True,True,0.3655424903778455,1.161851525415278,2.508956110784641,False,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.6245517926319583,0.6000752395393145,1059,evaluation_states_K7_n10000.csv
2,1,10.75356290361326,True,True,0.3055190176747842,0.971071068542293,2.508956110784641,False,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.5503620571838501,0.5330238923929692,1059,evaluation_states_K7_n10000.csv
3,2,10.75356290361326,True,True,0.24549554497172288,0.780290611669308,2.508956110784641,False,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.4761723217357419,0.4659725452466239,1059,evaluation_states_K7_n10000.csv
4,3,10.75356290361326,True,True,0.18547207226866158,0.5895101547963231,2.508956110784641,False,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.4019825862876337,0.3989211981002786,1059,evaluation_states_K7_n10000.csv
5,4,10.75356290361326,True,True,0.12544859956560028,0.3987296979233381,2.508956110784641,False,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.32779285083952553,0.3318698509539333,1059,evaluation_states_K7_n10000.csv
6,5,10.75356290361326,True,True,0.06542512686253898,0.20794924105035317,2.508956110784641,False,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.25360311539141733,0.264818503807588,1059,evaluation_states_K7_n10000.csv
7,6,10.75356290361326,True,True,0.005401654159477694,0.01716878417736825,2.508956110784641,True,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.17941337994330914,0.19776715666124267,1059,evaluation_states_K7_n10000.csv
8,7,10.75356290361326,True,True,0.20313614018620785,0.047186662779042605,2.508956110784641,True,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.10522364449520094,0.13071580951489736,1059,evaluation_states_K7_n10000.csv
9,8,10.75356290361326,True,True,0.400870626212938,0.07720454138071696,2.508956110784641,True,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,-0.031033909047092745,0.06366446236855207,1059,evaluation_states_K7_n10000.csv
10,9,10.75356290361326,True,True,0.5986051122396682,0.10722241998239132,2.508956110784641,True,3.9273377085896857,0.1521331030770223,4.277309216275458,False,6.920509492930771,1.3701937853427124,4.037774620476386,False,7.537952471732423,0.0967913341287244,2.284527046266642,False,9.800520003747494,0.3778291475421901,1.0223814910543751,False,5.279193726419358,5.899577894133569,,False,9.563292460945576,-3.894508694899357,,False,0.04315582640101545,-0.0033868847777932254,1059,evaluation_states_K7_n10000.csv
