idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,jammer_x,jammer_y,file_idx,file
1,0,10.960487089816668,True,True,1.3886096295260923,0.3326863986295886,5.238983532245321,False,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.041285643580258,-4.148258805191378,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.167469462294237,0.6505212303914725,339,evaluation_states_K7_n10000.csv
2,1,10.960487089816668,True,True,1.1941137518704417,0.28608861354319065,5.238983532245321,False,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.041285643580258,-4.148258805191378,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.220126428690427,0.7355344287194413,339,evaluation_states_K7_n10000.csv
3,2,10.960487089816668,True,True,0.9996178742147909,0.2394908284567927,5.238983532245321,False,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.041285643580258,-4.148258805191378,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.272783395086616,0.8205476270474101,339,evaluation_states_K7_n10000.csv
4,3,10.960487089816668,True,True,0.8051219965591401,0.19289304337039476,5.238983532245321,True,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.041285643580258,-4.148258805191378,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.325440361482806,0.905560825375379,339,evaluation_states_K7_n10000.csv
5,4,10.960487089816668,True,True,1.0051026039628725,0.1901079648375316,5.238983532245321,True,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.041285643580258,-4.148258805191378,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.378097327878995,0.9905740237033478,339,evaluation_states_K7_n10000.csv
6,5,10.960487089816668,True,True,1.205083211366605,0.18732288630466842,5.238983532245321,True,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.045949748147194,-3.9483131972661507,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.430754294275185,1.0755872220313165,339,evaluation_states_K7_n10000.csv
7,6,10.960487089816668,True,True,1.4050638187703375,0.18453780777180526,5.238983532245321,True,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.050613852714131,-3.7483675893409236,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.4834112606713745,1.1606004203592852,339,evaluation_states_K7_n10000.csv
8,7,10.960487089816668,True,True,1.60504442617407,0.1817527292389421,5.238983532245321,True,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.055277957281067,-3.5484219814156965,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.536068227067564,1.245613618687254,339,evaluation_states_K7_n10000.csv
9,8,10.960487089816668,True,True,1.8050250335778024,0.17896765070607892,5.238983532245321,True,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.0599420618480035,-3.3484763734904694,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.588725193463754,1.3306268170152227,339,evaluation_states_K7_n10000.csv
10,9,10.960487089816668,True,True,2.005005640981535,0.17618257217321576,5.238983532245321,True,5.45871649295892,-1.0372286979638443,5.240832355435265,False,7.06460616641494,-3.1485307655652424,1.23368842733123,False,11.146588176375266,1.4495148859501334,0.5105560395460795,False,2.924172398970301,-2.764551612852361,,False,-0.1176879006270894,2.587862972647061,,False,2.3092021294746683,-5.441153226513909,,False,4.641382159859943,1.4156400153431914,339,evaluation_states_K7_n10000.csv
