idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,jammer_x,jammer_y,file_idx,file
1,0,3.198374750692238,True,True,1.6062188983682044,-0.3184985114558334,3.381254158776311,False,2.521690457766427,-0.590415512125065,1,evaluation_states_K1_n10000.csv
2,1,3.198374750692238,True,True,1.4100385471725718,-0.27959774276473554,3.381254158776311,False,2.4462083018188063,-0.524822493186316,1,evaluation_states_K1_n10000.csv
3,2,3.198374750692238,True,True,1.2138581959769392,-0.24069697407363766,3.381254158776311,False,2.3707261458711857,-0.459229474247567,1,evaluation_states_K1_n10000.csv
4,3,3.198374750692238,True,True,1.0176778447813066,-0.20179620538253978,3.381254158776311,False,2.295243989923565,-0.39363645530881797,1,evaluation_states_K1_n10000.csv
5,4,3.198374750692238,True,True,0.8214974935856741,-0.16289543669144188,3.381254158776311,False,2.2197618339759444,-0.32804343637006894,1,evaluation_states_K1_n10000.csv
6,5,3.198374750692238,True,True,0.6253171423900417,-0.12399466800034398,3.381254158776311,True,2.1442796780283238,-0.2624504174313199,1,evaluation_states_K1_n10000.csv
7,6,3.198374750692238,True,True,0.8250853221224831,-0.11436791536059199,3.381254158776311,True,2.068797522080703,-0.19685739849257092,1,evaluation_states_K1_n10000.csv
8,7,3.198374750692238,True,True,1.0248535018549245,-0.10474116272084,2.988555077077587,True,1.9933153661330827,-0.13126437955382192,1,evaluation_states_K1_n10000.csv
9,8,3.198374750692238,True,True,1.224621681587366,-0.09511441008108801,2.5958559953788627,True,1.9178332101854623,-0.06567136061507292,1,evaluation_states_K1_n10000.csv
10,9,3.198374750692238,True,True,1.4243898613198076,-0.08548765744133602,2.2031569136801386,True,1.8423510542378418,-7.834167632392308e-05,1,evaluation_states_K1_n10000.csv
11,10,3.198374750692238,True,True,1.6241580410522491,-0.07586090480158403,1.8104578319814144,True,1.7668688982902214,0.06551467726242508,1,evaluation_states_K1_n10000.csv
12,11,3.198374750692238,True,True,1.8239262207846907,-0.06623415216183202,1.4177587502826903,True,1.691386742342601,0.13110769620117407,1,evaluation_states_K1_n10000.csv
13,12,3.198374750692238,True,True,2.0236944005171322,-0.05660739952208003,1.0250596685839661,True,1.6159045863949806,0.19670071513992307,1,evaluation_states_K1_n10000.csv
14,13,3.198374750692238,True,True,2.2234625802495738,-0.04698064688232803,0.632360586885242,True,1.5404224304473602,0.26229373407867207,1,evaluation_states_K1_n10000.csv
15,14,3.198374750692238,True,True,2.4232307599820153,-0.03735389424257603,0.2396615051865183,True,1.4649402744997397,0.3278867530174211,1,evaluation_states_K1_n10000.csv
