idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,jammer_x,jammer_y,file_idx,file
1,0,8.082739195932284,True,True,2.8462897251356187,0.2040209936729338,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,0.4319637009116897,1.0166720374940217,39,evaluation_states_K5_n10000.csv
2,1,8.082739195932284,True,True,2.6468015506024476,0.18972175518191267,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,0.5204462151346999,1.0632643617199582,39,evaluation_states_K5_n10000.csv
3,2,8.082739195932284,True,True,2.4473133760692765,0.17542251669089154,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,0.6089287293577101,1.1098566859458945,39,evaluation_states_K5_n10000.csv
4,3,8.082739195932284,True,True,2.2478252015361053,0.1611232781998704,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,0.6974112435807204,1.1564490101718308,39,evaluation_states_K5_n10000.csv
5,4,8.082739195932284,True,True,2.048337027002934,0.14682403970884927,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,0.7858937578037306,1.203041334397767,39,evaluation_states_K5_n10000.csv
6,5,8.082739195932284,True,True,1.848848852469763,0.13252480121782814,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,0.8743762720267408,1.2496336586237033,39,evaluation_states_K5_n10000.csv
7,6,8.082739195932284,True,True,1.649360677936592,0.11822556272680701,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,0.9628587862497511,1.2962259828496396,39,evaluation_states_K5_n10000.csv
8,7,8.082739195932284,True,True,1.4498725034034208,0.10392632423578586,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,1.0513413004727612,1.342818307075576,39,evaluation_states_K5_n10000.csv
9,8,8.082739195932284,True,True,1.2503843288702496,0.08962708574476472,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,1.1398238146957713,1.3894106313015122,39,evaluation_states_K5_n10000.csv
10,9,8.082739195932284,True,True,1.0508961543370785,0.07532784725374359,5.865513737119825,False,5.617498026968925,-0.2811671750831733,5.57946034506702,False,6.512100245856585,-4.017819775797891,3.158937294988868,False,8.016965878775492,0.2447289146511579,0.4858398607057658,False,0.281961290743582,-2.3585063358840683,,False,1.2283063289187814,1.4360029555274485,39,evaluation_states_K5_n10000.csv
