idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,jammer_x,jammer_y,file_idx,file
1,0,5.064274342191515,True,True,1.74777881497146,-0.6742066966263336,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,4.317966607227512,0.278823054312852,2,evaluation_states_K3_n10000.csv
2,1,5.064274342191515,True,True,1.5611807574962908,-0.6022263871903946,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,4.235365104229941,0.33518786339211937,2,evaluation_states_K3_n10000.csv
3,2,5.064274342191515,True,True,1.3745827000211217,-0.5302460777544555,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,4.15276360123237,0.39155267247138675,2,evaluation_states_K3_n10000.csv
4,3,5.064274342191515,True,True,1.1879846425459526,-0.45826576831851656,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,4.070162098234799,0.44791748155065414,2,evaluation_states_K3_n10000.csv
5,4,5.064274342191515,True,True,1.0013865850707835,-0.3862854588825776,3.3212242924482505,False,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.9875605952372277,0.5042822906299216,2,evaluation_states_K3_n10000.csv
6,5,5.064274342191515,True,True,0.8147885275956145,-0.31430514944663857,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.9049590922396566,0.560647099709189,2,evaluation_states_K3_n10000.csv
7,6,5.064274342191515,True,True,1.0143013657090025,-0.300354256000662,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.8223575892420856,0.6170119087884565,2,evaluation_states_K3_n10000.csv
8,7,5.064274342191515,True,True,1.2138142038223907,-0.28640336255468546,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.7397560862445145,0.6733767178677239,2,evaluation_states_K3_n10000.csv
9,8,5.064274342191515,True,True,1.4133270419357788,-0.2724524691087089,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.6571545832469434,0.7297415269469913,2,evaluation_states_K3_n10000.csv
10,9,5.064274342191515,True,True,1.612839880049167,-0.25850157566273235,3.3212242924482505,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.5745530802493723,0.7861063360262588,2,evaluation_states_K3_n10000.csv
11,10,5.064274342191515,True,True,1.8123527181625552,-0.2445506822167558,2.9285252107495263,True,4.614725303589234,-1.191398153509731,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.4919515772518013,0.8424711451055262,2,evaluation_states_K3_n10000.csv
12,11,5.064274342191515,True,True,2.0118655562759433,-0.23059978877077927,2.535826129050802,True,4.525743244741906,-1.012283125655308,2.886092470405932,False,5.127577494164665,0.6593235400831936,,False,3.40935007425423,0.8988359541847937,2,evaluation_states_K3_n10000.csv
13,12,5.064274342191515,True,True,2.2113783943893313,-0.21664889532480275,2.143127047352078,True,4.436761185894579,-0.833168097800885,2.493393388707208,False,5.127577494164665,0.6593235400831936,,False,3.326748571256659,0.9552007632640611,2,evaluation_states_K3_n10000.csv
14,13,5.064274342191515,True,True,2.410891232502719,-0.2026980018788262,1.750427965653354,True,4.347779127047251,-0.654053069946462,2.100694307008484,False,5.127577494164665,0.6593235400831936,,False,3.244147068259088,1.0115655723433286,2,evaluation_states_K3_n10000.csv
15,14,5.064274342191515,True,True,2.610404070616107,-0.18874710843284967,1.3577288839546298,True,4.258797068199923,-0.47493804209203894,1.7079952253097597,False,5.127577494164665,0.6593235400831936,,False,3.161545565261517,1.067930381422596,2,evaluation_states_K3_n10000.csv
16,15,5.064274342191515,True,True,2.809916908729495,-0.17479621498687314,0.9650298022559056,True,4.169815009352596,-0.2958230142376159,1.3152961436110355,False,5.127577494164665,0.6593235400831936,,False,3.078944062263946,1.1242951905018634,2,evaluation_states_K3_n10000.csv
17,16,5.064274342191515,True,True,3.009429746842883,-0.16084532154089662,0.5723307205571815,True,4.080832950505268,-0.11670798638319282,0.9225970619123114,False,5.127577494164665,0.6593235400831936,,False,2.996342559266375,1.1806599995811309,2,evaluation_states_K3_n10000.csv
18,17,5.064274342191515,True,True,3.208942584956271,-0.1468944280949201,0.17963163885845734,True,4.066055037065687,-0.08696101927938116,0.5298979802135872,True,5.127577494164665,0.6593235400831936,,False,2.9137410562688038,1.2370248086603983,2,evaluation_states_K3_n10000.csv
19,18,5.064274342191515,True,True,3.208942584956271,-0.1468944280949201,0.17963163885845734,True,4.265300407350283,-0.06960353040126117,0.1371988985148631,True,5.127577494164665,0.6593235400831936,,False,2.8311395532712327,1.2933896177396658,2,evaluation_states_K3_n10000.csv
