idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,file_idx,file
1,0,3.047286498801027,False,False,2.6235788711612726,1.4026718613830036,,False,0,evaluation_states_K1_n10000.csv
2,1,3.047286498801027,False,False,2.473223574272465,1.2973758248874028,,False,0,evaluation_states_K1_n10000.csv
3,2,3.047286498801027,False,False,2.322868277383657,1.1920797883918017,,False,0,evaluation_states_K1_n10000.csv
4,3,3.047286498801027,False,False,2.1725129804948495,1.086783751896201,,False,0,evaluation_states_K1_n10000.csv
5,4,3.047286498801027,False,False,2.022157683606042,0.9814877154006,,False,0,evaluation_states_K1_n10000.csv
6,5,3.047286498801027,False,False,1.871802386717234,0.8761916789049992,,False,0,evaluation_states_K1_n10000.csv
7,6,3.047286498801027,False,False,1.7214470898284264,0.7708956424093982,,False,0,evaluation_states_K1_n10000.csv
8,7,3.047286498801027,False,False,1.5710917929396186,0.6655996059137973,,False,0,evaluation_states_K1_n10000.csv
9,8,3.047286498801027,False,False,1.4207364960508109,0.5603035694181964,,False,0,evaluation_states_K1_n10000.csv
10,9,3.047286498801027,False,False,1.270381199162003,0.45500753292259544,,False,0,evaluation_states_K1_n10000.csv
11,10,3.047286498801027,False,False,1.1200259022731955,0.34971149642699473,,False,0,evaluation_states_K1_n10000.csv
12,11,3.047286498801027,False,False,0.9696706053843879,0.24441545993139374,,True,0,evaluation_states_K1_n10000.csv
13,12,3.047286498801027,False,False,1.150414728345735,0.22315231014346756,,True,0,evaluation_states_K1_n10000.csv
14,13,3.047286498801027,False,False,1.3311588513070822,0.20188916035554139,,True,0,evaluation_states_K1_n10000.csv
15,14,3.047286498801027,False,False,1.5119029742684296,0.1806260105676152,,True,0,evaluation_states_K1_n10000.csv
16,15,3.047286498801027,False,False,1.6926470972297767,0.15936286077968903,,True,0,evaluation_states_K1_n10000.csv
17,16,3.047286498801027,False,False,1.8733912201911238,0.13809971099176285,,True,0,evaluation_states_K1_n10000.csv
18,17,3.047286498801027,False,False,2.054135343152471,0.11683656120383668,,True,0,evaluation_states_K1_n10000.csv
19,18,3.047286498801027,False,False,2.054135343152471,0.11683656120383669,,True,0,evaluation_states_K1_n10000.csv
