idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,file_idx,file
1,0,5.854683491379884,False,False,0.769975732854542,1.138504755101455,,False,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
2,1,5.854683491379884,False,False,0.7652258939940146,0.9385611654797845,,False,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
3,2,5.854683491379884,False,False,0.7604760551334871,0.7386175758581139,,False,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
4,3,5.854683491379884,False,False,0.7584130147059743,0.651774270069474,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
5,4,5.854683491379884,False,False,0.9567971634816954,0.6264024448585722,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
6,5,5.854683491379884,False,False,1.1551813122574166,0.6010306196476705,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
7,6,5.854683491379884,False,False,1.3535654610331378,0.5756587944367687,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
8,7,5.854683491379884,False,False,1.551949609808859,0.550286969225867,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
9,8,5.854683491379884,False,False,1.7503337585845802,0.5249151440149652,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
10,9,5.854683491379884,False,False,1.9487179073603014,0.4995433188040634,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
11,10,5.854683491379884,False,False,2.1471020561360223,0.4741714935931616,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
12,11,5.854683491379884,False,False,2.3454862049117433,0.44879966838225976,,True,4.002737997742289,-0.837242160964251,,False,6,evaluation_states_K2_n10000.csv
13,12,5.854683491379884,False,False,2.5438703536874643,0.42342784317135795,,True,4.028109822953191,-0.6388580121885299,,False,6,evaluation_states_K2_n10000.csv
14,13,5.854683491379884,False,False,2.7422545024631853,0.39805601796045614,,True,4.053481648164093,-0.4404738634128088,,False,6,evaluation_states_K2_n10000.csv
15,14,5.854683491379884,False,False,2.940638651238906,0.37268419274955433,,True,4.078853473374995,-0.24208971463708767,,False,6,evaluation_states_K2_n10000.csv
16,15,5.854683491379884,False,False,3.139022800014627,0.3473123675386526,,True,4.104225298585896,-0.043705565861366535,,False,6,evaluation_states_K2_n10000.csv
17,16,5.854683491379884,False,False,3.337406948790348,0.3219405423277508,,True,4.129597123796798,0.15467858291435457,,False,6,evaluation_states_K2_n10000.csv
18,17,5.854683491379884,False,False,3.337406948790348,0.3219405423277508,,True,4.137895493510502,0.21956413995232849,,True,6,evaluation_states_K2_n10000.csv
19,18,5.854683491379884,False,False,3.337406948790348,0.3219405423277508,,True,4.3362796422862235,0.1941923147414267,,True,6,evaluation_states_K2_n10000.csv
20,19,5.854683491379884,False,False,3.337406948790348,0.3219405423277508,,True,4.534663791061945,0.16882048953052492,,True,6,evaluation_states_K2_n10000.csv
21,20,5.854683491379884,False,False,3.337406948790348,0.3219405423277508,,True,4.733047939837666,0.1434486643196231,,True,6,evaluation_states_K2_n10000.csv
22,21,5.854683491379884,False,False,3.337406948790348,0.3219405423277508,,True,4.931432088613388,0.1180768391087213,,True,6,evaluation_states_K2_n10000.csv
