idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,file_idx,file
1,0,4.813820962704599,True,False,0.4621724022019835,-0.5153352827705667,3.2425545542113827,False,2.165657282289357,-1.5103087011014384,6.094221105379693,False,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
2,1,4.813820962704599,True,False,0.4621724022019835,-0.5153352827705667,3.635253635910107,True,2.165657282289357,-1.5103087011014384,6.094221105379693,False,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
3,2,4.813820962704599,True,False,0.6579652365380588,-0.5561417286173468,4.027952717608831,True,2.165657282289357,-1.5103087011014384,6.094221105379693,False,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
4,3,4.813820962704599,True,False,0.8537580708741341,-0.5969481744641268,4.420651799307555,True,2.1421370319218656,-1.3116965216595662,6.094221105379693,False,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
5,4,4.813820962704599,True,False,1.0495509052102094,-0.6377546203109069,4.813350881006279,True,2.118616781554374,-1.1130843422176937,6.094221105379693,False,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
6,5,4.813820962704599,True,False,1.2453437395462847,-0.6785610661576869,5.206049962705004,True,2.0950965311868828,-0.9144721627758212,6.094221105379693,False,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
7,6,4.813820962704599,True,False,1.2453437395462847,-0.6785610661576869,5.5987490444037284,True,2.087955997474554,-0.8541753147055339,6.094221105379693,True,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
8,7,4.813820962704599,True,False,1.2453437395462847,-0.6785610661576869,5.5987490444037284,True,2.271993797222451,-0.7758804345156199,6.094221105379693,True,3.875372288714256,-0.1786034469608285,1.7397587449451388,False,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
9,8,4.813820962704599,True,False,1.2453437395462847,-0.6785610661576869,5.5987490444037284,True,2.4560315969703477,-0.697585554325706,6.094221105379693,True,3.875372288714256,-0.1786034469608285,1.7397587449451388,True,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
10,9,4.813820962704599,True,False,1.2453437395462847,-0.6785610661576869,5.5987490444037284,True,2.6400693967182445,-0.6192906741357921,0.2037348798988301,True,3.875372288714256,-0.1786034469608285,1.3470596632464147,True,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
11,10,4.813820962704599,True,False,1.2453437395462847,-0.6785610661576869,5.5987490444037284,True,2.6400693967182445,-0.6192906741357921,0.2037348798988301,True,3.875372288714256,-0.1786034469608285,0.9543605815476905,True,4.836597359316263,-0.5969416805108757,,False,1,evaluation_states_K4_n10000.csv
