idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,jammer_x,jammer_y,file_idx,file
1,0,4.0904516460987885,False,True,1.4096382824164195,1.3235664766036173,,False,2.857347821726448,1.5237848155621518,,False,3.018028458312808,-0.4920892099532179,116,evaluation_states_K2_n10000.csv
2,1,4.0904516460987885,False,True,1.2638356805560818,1.1866665084124017,,False,2.857347821726448,1.5237848155621518,,False,3.0631397957374,-0.40284254482916654,116,evaluation_states_K2_n10000.csv
3,2,4.0904516460987885,False,True,1.1180330786957438,1.0497665402211862,,False,2.857347821726448,1.5237848155621518,,False,3.108251133161992,-0.31359587970511515,116,evaluation_states_K2_n10000.csv
4,3,4.0904516460987885,False,True,0.9722304768354059,0.9128665720299708,,False,2.857347821726448,1.5237848155621518,,False,3.1533624705865844,-0.22434921458106377,116,evaluation_states_K2_n10000.csv
5,4,4.0904516460987885,False,True,0.826427874975068,0.7759666038387554,,False,2.857347821726448,1.5237848155621518,,False,3.1984738080111765,-0.1351025494570124,116,evaluation_states_K2_n10000.csv
6,5,4.0904516460987885,False,True,0.6806252731147301,0.63906663564754,,False,2.857347821726448,1.5237848155621518,,False,3.2435851454357687,-0.04585588433296099,116,evaluation_states_K2_n10000.csv
7,6,4.0904516460987885,False,True,0.5348226712543922,0.5021666674563245,,True,2.857347821726448,1.5237848155621518,,False,3.288696482860361,0.043390780791090405,116,evaluation_states_K2_n10000.csv
8,7,4.0904516460987885,False,True,0.7338952991055279,0.48292897423589853,,True,2.8174402293030534,1.3278067962156745,,False,3.333807820284953,0.13263744591514182,116,evaluation_states_K2_n10000.csv
9,8,4.0904516460987885,False,True,0.9329679269566635,0.4636912810154725,,True,2.7775326368796587,1.1318287768691973,,False,3.378919157709545,0.2218841110391932,116,evaluation_states_K2_n10000.csv
10,9,4.0904516460987885,False,True,1.1320405548077992,0.4444535877950465,,True,2.7376250444562635,0.9358507575227201,,False,3.4240304951341374,0.3111307761632446,116,evaluation_states_K2_n10000.csv
11,10,4.0904516460987885,False,True,1.3311131826589349,0.42521589457462056,,True,2.697717452032869,0.7398727381762429,,False,3.4691418325587295,0.40037744128729597,116,evaluation_states_K2_n10000.csv
12,11,4.0904516460987885,False,True,1.5301858105100705,0.4059782013541946,,True,2.6578098596094737,0.5438947188297657,,False,3.5142531699833217,0.48962410641134735,116,evaluation_states_K2_n10000.csv
13,12,4.0904516460987885,False,True,1.7292584383612062,0.3867405081337686,,True,2.617902267186079,0.34791669948328846,,False,3.559364507407914,0.5788707715353988,116,evaluation_states_K2_n10000.csv
14,13,4.0904516460987885,False,True,1.9283310662123418,0.36750281491334263,,True,2.608505899613958,0.30177306129287274,,True,3.604475844832506,0.6681174366594502,116,evaluation_states_K2_n10000.csv
15,14,4.0904516460987885,False,True,2.1274036940634775,0.3482651216929167,,True,2.804483918960435,0.26186546886947787,,True,3.649587182257098,0.7573641017835017,116,evaluation_states_K2_n10000.csv
16,15,4.0904516460987885,False,True,2.1274036940634775,0.3482651216929167,,True,3.000461938306912,0.221957876446083,,True,3.6946985196816904,0.8466107669075531,116,evaluation_states_K2_n10000.csv
17,16,4.0904516460987885,False,True,2.1274036940634775,0.3482651216929167,,True,3.1964399576533893,0.18205028402268814,,True,3.7398098571062826,0.9358574320316045,116,evaluation_states_K2_n10000.csv
18,17,4.0904516460987885,False,True,2.1274036940634775,0.3482651216929167,,True,3.3924179769998664,0.1421426915992933,,True,3.7849211945308747,1.025104097155656,116,evaluation_states_K2_n10000.csv
19,18,4.0904516460987885,False,True,2.1274036940634775,0.3482651216929167,,True,3.5883959963463434,0.10223509917589846,,True,3.830032531955467,1.1143507622797073,116,evaluation_states_K2_n10000.csv
