idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,jammer_x,jammer_y,file
1,0,4.452013204212162,False,False,-0.2911951993289716,-0.4570961475489886,,True,1.711745344818627,0.1343296752591422,,False,,,evaluation_states_K2_n10000.csv
2,1,4.452013204212162,False,False,-0.14182486099866515,-0.4427015436437714,,True,1.711745344818627,0.1343296752591422,,False,,,evaluation_states_K2_n10000.csv
3,2,4.452013204212162,False,False,0.007545477331641293,-0.4283069397385542,,True,1.711745344818627,0.1343296752591422,,False,,,evaluation_states_K2_n10000.csv
4,3,4.452013204212162,False,False,0.15691581566194773,-0.4139123358333371,,True,1.711745344818627,0.1343296752591422,,False,,,evaluation_states_K2_n10000.csv
5,4,4.452013204212162,False,False,0.3062861539922542,-0.3995177319281199,,True,1.711745344818627,0.1343296752591422,,False,,,evaluation_states_K2_n10000.csv
6,5,4.452013204212162,False,False,0.4556564923225606,-0.3851231280229027,,True,1.711745344818627,0.1343296752591422,,False,,,evaluation_states_K2_n10000.csv
7,6,4.452013204212162,False,False,0.605026830652867,-0.37072852411768553,,True,1.749785813780809,-0.2604097532474816,,False,,,evaluation_states_K2_n10000.csv
8,7,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,1.749785813780809,-0.2604097532474816,,True,,,evaluation_states_K2_n10000.csv
9,8,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,1.9394345632956667,-0.24213357699387106,,True,,,evaluation_states_K2_n10000.csv
10,9,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,2.129083312810524,-0.22385740074026053,,True,,,evaluation_states_K2_n10000.csv
11,10,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,2.3187320623253815,-0.20558122448664998,,True,,,evaluation_states_K2_n10000.csv
12,11,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,2.508380811840239,-0.18730504823303945,,True,,,evaluation_states_K2_n10000.csv
13,12,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,2.6980295613550966,-0.1690288719794289,,True,,,evaluation_states_K2_n10000.csv
14,13,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,2.887678310869954,-0.15075269572581834,,True,,,evaluation_states_K2_n10000.csv
15,14,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,3.0773270603848113,-0.1324765194722078,,True,,,evaluation_states_K2_n10000.csv
16,15,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,3.2669758098996686,-0.11420034321859726,,True,,,evaluation_states_K2_n10000.csv
17,16,4.452013204212162,False,False,0.7543971689831735,-0.35633392021246835,,True,3.4566245594145264,-0.0959241669649867,,True,,,evaluation_states_K2_n10000.csv
