idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,file
1,0,6.047286498801027,True,False,1.0950672317560894,-0.621193512101289,2.0717654764182005,False,3.669828174845281,-1.2166833017916698,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
2,1,6.047286498801027,True,False,0.9211074717555602,-0.5225121972511196,2.0717654764182005,False,3.669828174845281,-1.2166833017916698,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
3,2,6.047286498801027,True,False,0.8697988000026462,-0.49340657425084705,2.0717654764182005,True,3.669828174845281,-1.2166833017916698,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
4,3,6.047286498801027,True,False,1.0688967599441206,-0.4744328464372871,2.0717654764182005,True,3.669828174845281,-1.2166833017916698,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
5,4,6.047286498801027,True,False,1.267994719885595,-0.4554591186237272,1.6790663947194764,True,3.669828174845281,-1.2166833017916698,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
6,5,6.047286498801027,True,False,1.4670926798270694,-0.43648539081016724,1.2863673130207522,True,3.669828174845281,-1.2166833017916698,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
7,6,6.047286498801027,True,False,1.6661906397685438,-0.4175116629966073,0.8936682313220281,True,3.650854447031721,-1.0175853418501954,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
8,7,6.047286498801027,True,False,1.8652885997100181,-0.39853793518304736,0.500969149623304,True,3.631880719218161,-0.8184873819087211,4.734462493192759,False,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
9,8,6.047286498801027,True,False,2.0643865596514925,-0.3795642073694874,0.10827006792457983,True,3.612906991404601,-0.6193894219672467,4.734462493192759,True,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
10,9,6.047286498801027,True,False,2.263484519592967,-0.3605904795559275,5.998756293405442,True,3.8067315797358816,-0.5700738163417506,4.734462493192759,True,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
11,10,6.047286498801027,True,False,2.263484519592967,-0.3605904795559275,5.998756293405442,True,4.000556168067162,-0.5207582107162545,5.127161574891483,True,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
12,11,6.047286498801027,True,False,2.263484519592967,-0.3605904795559275,5.998756293405442,True,4.194380756398443,-0.4714426050907584,5.5198606565902075,True,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
13,12,6.047286498801027,True,False,2.263484519592967,-0.3605904795559275,5.998756293405442,True,4.388205344729724,-0.4221269994652623,5.912559738288932,True,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
14,13,6.047286498801027,True,False,2.263484519592967,-0.3605904795559275,5.998756293405442,True,4.582029933061005,-0.37281139383976614,0.02207351280807046,True,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
15,14,6.047286498801027,True,False,2.263484519592967,-0.3605904795559275,5.998756293405442,True,4.775854521392286,-0.32349578821427005,0.41477259450679327,True,-0.1111091231038186,1.638981595700143,,False,0.0493675204353651,1.9085943140322976,,False,evaluation_states_K4_n10000.csv
