idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,file_idx,file
1,0,7.047286498801027,False,False,5.457232258063403,-3.640700002013791,,False,2.1724684558754057,0.8670495822130966,,False,-0.3964018681465346,-1.262644859153033,,False,5.849534386897304,0.4068232391244202,,False,3.584365388790266,-2.7504583213771387,,False,0,evaluation_states_K5_n10000.csv
2,1,7.047286498801027,False,False,5.457232258063403,-3.640700002013791,,False,2.1724684558754057,0.8670495822130966,,False,-0.22794857201348961,-1.1871714564958735,,False,5.849534386897304,0.4068232391244202,,False,3.584365388790266,-2.7504583213771387,,False,0,evaluation_states_K5_n10000.csv
3,2,7.047286498801027,False,False,5.457232258063403,-3.640700002013791,,False,2.1724684558754057,0.8670495822130966,,False,-0.05949527588044462,-1.111698053838714,,False,5.849534386897304,0.4068232391244202,,False,3.584365388790266,-2.7504583213771387,,False,0,evaluation_states_K5_n10000.csv
4,3,7.047286498801027,False,False,5.457232258063403,-3.640700002013791,,False,2.1724684558754057,0.8670495822130966,,False,0.10895802025260043,-1.0362246511815543,,False,5.849534386897304,0.4068232391244202,,False,3.584365388790266,-2.7504583213771387,,False,0,evaluation_states_K5_n10000.csv
5,4,7.047286498801027,False,False,5.457232258063403,-3.640700002013791,,False,2.1987346608149894,0.6759193475858005,,False,0.2774113163856453,-0.9607512485243948,,True,5.849534386897304,0.4068232391244202,,False,3.5563675229264557,-2.553173064071339,,False,0,evaluation_states_K5_n10000.csv
6,5,7.047286498801027,False,False,5.429556898908444,-3.4456872685977804,,False,2.2250008657545735,0.4847891129585045,,False,0.4632625173304654,-0.9343760542207699,,True,5.849534386897304,0.4068232391244202,,False,3.5283696570626453,-2.3558878067655393,,False,0,evaluation_states_K5_n10000.csv
7,6,7.047286498801027,False,False,5.401881539753486,-3.250674535181769,,False,2.251267070694157,0.2936588783312085,,False,0.6491137182752855,-0.9080008599171449,,True,5.849534386897304,0.4068232391244202,,False,3.5003717911988352,-2.1586025494597396,,False,0,evaluation_states_K5_n10000.csv
8,7,7.047286498801027,False,False,5.374206180598526,-3.0556618017657584,,False,2.2775332756337408,0.10252864370391246,,False,0.8349649192201056,-0.88162566561352,,True,5.849534386897304,0.4068232391244202,,False,3.4723739253350248,-1.96131729215394,,False,0,evaluation_states_K5_n10000.csv
9,8,7.047286498801027,False,False,5.346530821443568,-2.860649068349747,,False,2.303799480573325,-0.0886015909233836,,False,1.0208161201649257,-0.8552504713098951,,True,5.849534386897304,0.4068232391244202,,False,3.4443760594712147,-1.7640320348481402,,False,0,evaluation_states_K5_n10000.csv
10,9,7.047286498801027,False,False,5.318855462288609,-2.6656363349337364,,False,2.3300656855129085,-0.27973182555067955,,False,1.2066673211097458,-0.8288752770062701,,True,5.849534386897304,0.4068232391244202,,False,3.4163781936074042,-1.5667467775423405,,False,0,evaluation_states_K5_n10000.csv
