idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,jammer_x,jammer_y,file_idx,file
1,0,4.785451253624501,False,True,0.5760488610235612,1.1453578013962495,,False,2.823187189298075,0.025019104601802886,,False,3.403140455884226,-0.1649396167831538,,False,4.506220508161338,-0.2143125905995896,,False,4.929485739470268,0.8842678640056822,3054,evaluation_states_K4_n10000.csv
2,1,4.785451253624501,False,True,0.4861858207936593,0.9666831417473809,,False,2.6512814219848524,0.12723655499287934,,False,3.403140455884226,-0.1649396167831538,,False,4.506220508161338,-0.2143125905995896,,False,4.869858994546406,0.8039892785062809,3054,evaluation_states_K4_n10000.csv
3,2,4.785451253624501,False,True,0.39632278056375736,0.7880084820985123,,True,2.47937565467163,0.22945400538395577,,False,3.403140455884226,-0.1649396167831538,,False,4.506220508161338,-0.2143125905995896,,False,4.810232249622544,0.7237106930068795,3054,evaluation_states_K4_n10000.csv
4,3,4.785451253624501,False,True,0.5947567563483002,0.7630293457175344,,True,2.3074698873584074,0.3316714557750322,,False,3.2607316364981838,-0.024512667229039886,,False,4.506220508161338,-0.2143125905995896,,False,4.392845035155511,0.1617605945110699,3054,evaluation_states_K4_n10000.csv
5,4,4.785451253624501,False,True,0.793190732132843,0.7380502093365566,,True,2.135564120045185,0.43388890616610865,,False,3.1183228171121415,0.11591428232507403,,False,4.506220508161338,-0.2143125905995896,,False,4.333218290231649,0.0814820090116685,3054,evaluation_states_K4_n10000.csv
6,5,4.785451253624501,False,True,0.9916247079173858,0.7130710729555789,,True,1.9636583527319622,0.536106356557185,,False,2.9759139977260993,0.256341231879188,,False,4.506220508161338,-0.2143125905995896,,False,4.273591545307787,0.0012034235122670989,3054,evaluation_states_K4_n10000.csv
7,6,4.785451253624501,False,True,1.1900586837019285,0.6880919365746011,,True,1.8471657302609172,0.6053744157064985,,True,2.8335051783400576,0.39676818143330206,,False,4.334288554228891,-0.11213919280461036,,False,3.856204330840754,-0.5607466749835426,3054,evaluation_states_K4_n10000.csv
8,7,4.785451253624501,False,True,1.1900586837019285,0.6880919365746011,,True,2.0430514318184896,0.5650161213260653,,True,2.826594238048779,0.4035829438043323,,True,4.1623566002964445,-0.009965795009631115,,False,3.796577585916892,-0.641025260482944,3054,evaluation_states_K4_n10000.csv
9,8,4.785451253624501,False,True,1.1900586837019285,0.6880919365746011,,True,2.2389371333760617,0.524657826945632,,True,3.0224799396063515,0.36322464942389904,,True,3.990424646363998,0.09220760278534816,,False,3.73695084099303,-0.7213038459823453,3054,evaluation_states_K4_n10000.csv
10,9,4.785451253624501,False,True,1.1900586837019285,0.6880919365746011,,True,2.2389371333760617,0.524657826945632,,True,3.218365641163924,0.3228663550434657,,True,3.818492692431551,0.19438100058032742,,False,3.677324096069168,-0.8015824314817467,3054,evaluation_states_K4_n10000.csv
11,10,4.785451253624501,False,True,1.1900586837019285,0.6880919365746011,,True,2.2389371333760617,0.524657826945632,,True,3.414251342721496,0.2825080606630324,,True,3.806022745836639,0.20179147190216623,,True,3.6176973511453063,-0.881861016981148,3054,evaluation_states_K4_n10000.csv
12,11,4.785451253624501,False,True,1.1900586837019285,0.6880919365746011,,True,2.2389371333760617,0.524657826945632,,True,3.6101370442790683,0.24214976628259915,,True,4.001908447394212,0.161433177521733,,True,3.5580706062214444,-0.9621396024805494,3054,evaluation_states_K4_n10000.csv
13,12,4.785451253624501,False,True,1.1900586837019285,0.6880919365746011,,True,2.2389371333760617,0.524657826945632,,True,3.6101370442790683,0.24214976628259915,,True,4.197794148951784,0.12107488314129976,,True,3.4984438612975826,-1.0424181879799508,3054,evaluation_states_K4_n10000.csv
