idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,file_idx,file
1,0,6.413526630515099,False,False,2.34741935743194,0.1281116252510401,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
2,1,6.413526630515099,False,False,2.154718602798947,0.11759488192395849,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
3,2,6.413526630515099,False,False,1.9620178481659547,0.10707813859687687,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
4,3,6.413526630515099,False,False,1.7693170935329618,0.09656139526979524,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
5,4,6.413526630515099,False,False,1.5766163388999694,0.08604465194271363,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
6,5,6.413526630515099,False,False,1.3839155842669766,0.075527908615632,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
7,6,6.413526630515099,False,False,1.191214829633984,0.06501116528855037,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
8,7,6.413526630515099,False,False,0.9985140750009913,0.054494421961468746,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
9,8,6.413526630515099,False,False,1.1888284919275747,0.052579177253349416,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
10,9,6.413526630515099,False,False,1.3791429088541582,0.050663932545230085,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
11,10,6.413526630515099,False,False,1.5694573257807418,0.048748687837110755,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
12,11,6.413526630515099,False,False,1.7597717427073252,0.046833443128991424,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
13,12,6.413526630515099,False,False,1.9500861596339087,0.044918198420872094,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
14,13,6.413526630515099,False,False,2.1404005765604923,0.04300295371275276,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
15,14,6.413526630515099,False,False,2.3307149934870757,0.04108770900463343,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,3458,evaluation_states_K3_n10000.csv
16,15,6.413526630515099,False,False,2.521029410413659,0.039172464296514095,,True,6.032681684175042,-0.1593148209880672,,False,6.254069424296941,1.0484902938470673,,False,3458,evaluation_states_K3_n10000.csv
17,16,6.413526630515099,False,False,2.711343827340243,0.037257219588394765,,True,5.836993626147107,-0.13403871459300049,,False,6.133999115755772,0.900143547907543,,False,3458,evaluation_states_K3_n10000.csv
18,17,6.413526630515099,False,False,2.901658244266826,0.035341974880275434,,True,5.641305568119173,-0.10876260819793378,,False,6.0139288072146035,0.7517968019680189,,False,3458,evaluation_states_K3_n10000.csv
19,18,6.413526630515099,False,False,3.0919726611934095,0.03342673017215611,,True,5.445617510091238,-0.08348650180286706,,False,5.893858498673435,0.6034500560284948,,False,3458,evaluation_states_K3_n10000.csv
20,19,6.413526630515099,False,False,3.282287078119993,0.03151148546403677,,True,5.249929452063304,-0.05821039540780035,,False,5.773788190132265,0.45510331008897065,,False,3458,evaluation_states_K3_n10000.csv
21,20,6.413526630515099,False,False,3.4726014950465767,0.029596240755917443,,True,5.054241394035369,-0.032934289012733625,,False,5.6537178815910965,0.3067565641494465,,False,3458,evaluation_states_K3_n10000.csv
22,21,6.413526630515099,False,False,3.66291591197316,0.027680996047798112,,True,4.858553336007435,-0.007658182617666903,,False,5.533647573049928,0.15840981820992228,,False,3458,evaluation_states_K3_n10000.csv
23,22,6.413526630515099,False,False,3.66291591197316,0.027680996047798112,,True,4.6628652779795,0.01761792377739982,,True,5.413577264508759,0.010063072270398297,,True,3458,evaluation_states_K3_n10000.csv
