idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,jammer_x,jammer_y,file
1,0,3.7408143595993706,False,False,1.2022736247515162,0.5841486349897387,,False,,,evaluation_states_K1_n10000.csv
2,1,3.7408143595993706,False,False,1.0508633743581965,0.510582943062502,,False,,,evaluation_states_K1_n10000.csv
3,2,3.7408143595993706,False,False,0.8994531239648771,0.43701725113526535,,True,,,evaluation_states_K1_n10000.csv
4,3,3.7408143595993706,False,False,1.0847514753477618,0.4085173282301224,,True,,,evaluation_states_K1_n10000.csv
5,4,3.7408143595993706,False,False,1.2700498267306466,0.3800174053249794,,True,,,evaluation_states_K1_n10000.csv
6,5,3.7408143595993706,False,False,1.4553481781135313,0.3515174824198365,,True,,,evaluation_states_K1_n10000.csv
7,6,3.7408143595993706,False,False,1.6406465294964163,0.3230175595146935,,True,,,evaluation_states_K1_n10000.csv
8,7,3.7408143595993706,False,False,1.8259448808793008,0.29451763660955055,,True,,,evaluation_states_K1_n10000.csv
9,8,3.7408143595993706,False,False,2.011243232262186,0.26601771370440763,,True,,,evaluation_states_K1_n10000.csv
10,9,3.7408143595993706,False,False,2.1965415836450704,0.23751779079926463,,True,,,evaluation_states_K1_n10000.csv
11,10,3.7408143595993706,False,False,2.3818399350279553,0.20901786789412166,,True,,,evaluation_states_K1_n10000.csv
12,11,3.7408143595993706,False,False,2.56713828641084,0.18051794498897872,,True,,,evaluation_states_K1_n10000.csv
13,12,3.7408143595993706,False,False,2.752436637793725,0.15201802208383575,,True,,,evaluation_states_K1_n10000.csv
14,13,3.7408143595993706,False,False,2.752436637793725,0.15201802208383577,,True,,,evaluation_states_K1_n10000.csv
