idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,file_idx,file
1,0,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.165657282289357,-1.5103087011014384,,False,0.4621724022019835,-0.5153352827705667,,True,1,evaluation_states_K4_n10000.csv
2,1,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.165657282289357,-1.5103087011014384,,False,0.623877258100032,-0.5490372334458336,,True,1,evaluation_states_K4_n10000.csv
3,2,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.1462319610856566,-1.3462753545024624,,False,0.7855821139980806,-0.5827391841211003,,True,1,evaluation_states_K4_n10000.csv
4,3,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.1268066398819556,-1.182242007903486,,False,0.9472869698961293,-0.616441134796367,,True,1,evaluation_states_K4_n10000.csv
5,4,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.1073813186782546,-1.01820866130451,,False,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
6,5,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.087955997474554,-0.8541753147055339,,True,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
7,6,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.25008178697191,-0.7852024228225676,,True,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
8,7,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.412207576469266,-0.7162295309396013,,True,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
9,8,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.574333365966622,-0.647256639056635,,True,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
10,9,4.813820962704599,False,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.736459155463978,-0.5782837471736687,,True,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
11,10,4.813820962704599,False,False,3.818773943700819,-0.11783645434113281,,True,4.836597359316263,-0.5969416805108757,,False,2.898584944961334,-0.5093108552907024,,True,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
12,11,4.813820962704599,False,False,3.8207600654952376,-0.11760125183745793,,True,4.836597359316263,-0.5969416805108757,,False,2.898584944961334,-0.5093108552907024,,True,1.1089918257941778,-0.6501430854716338,,True,1,evaluation_states_K4_n10000.csv
