idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,jammer_x,jammer_y,file_idx,file
1,0,6.413526630515099,False,True,2.34741935743194,0.1281116252510401,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.48751469998171,0.0710482583698437,3458,evaluation_states_K3_n10000.csv
2,1,6.413526630515099,False,True,2.1477165424317417,0.11721274085874636,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.479642640229091,0.17073793022832262,3458,evaluation_states_K3_n10000.csv
3,2,6.413526630515099,False,True,1.9480137274315434,0.10631385646645261,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.4717705804764725,0.2704276020868015,3458,evaluation_states_K3_n10000.csv
4,3,6.413526630515099,False,True,1.7483109124313452,0.09541497207415886,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.463898520723854,0.3701172739452804,3458,evaluation_states_K3_n10000.csv
5,4,6.413526630515099,False,True,1.548608097431147,0.08451608768186511,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.456026460971235,0.46980694580375926,3458,evaluation_states_K3_n10000.csv
6,5,6.413526630515099,False,True,1.3489052824309486,0.07361720328957136,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.448154401218616,0.5694966176622381,3458,evaluation_states_K3_n10000.csv
7,6,6.413526630515099,False,True,1.1492024674307504,0.06271831889727761,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.4402823414659975,0.669186289520717,3458,evaluation_states_K3_n10000.csv
8,7,6.413526630515099,False,True,0.9494996524305521,0.05181943450498386,,False,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.432410281713379,0.7688759613791959,3458,evaluation_states_K3_n10000.csv
9,8,6.413526630515099,False,True,0.7497968374303539,0.04092055011269011,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.42453822196076,0.8685656332376748,3458,evaluation_states_K3_n10000.csv
10,9,6.413526630515099,False,True,0.9497932912297146,0.039729555704573996,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.416666162208141,0.9682553050961537,3458,evaluation_states_K3_n10000.csv
11,10,6.413526630515099,False,True,1.1497897450290753,0.038538561296457885,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.408794102455523,1.0679449769546325,3458,evaluation_states_K3_n10000.csv
12,11,6.413526630515099,False,True,1.349786198828436,0.03734756688834178,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.400922042702904,1.1676346488131115,3458,evaluation_states_K3_n10000.csv
13,12,6.413526630515099,False,True,1.549782652627797,0.03615657248022568,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.393049982950285,1.2673243206715905,3458,evaluation_states_K3_n10000.csv
14,13,6.413526630515099,False,True,1.7497791064271577,0.034965578072109565,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.385177923197666,1.3670139925300695,3458,evaluation_states_K3_n10000.csv
15,14,6.413526630515099,False,True,1.9497755602265185,0.033774583663993454,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.377305863445048,1.4667036643885485,3458,evaluation_states_K3_n10000.csv
16,15,6.413526630515099,False,True,2.149772014025879,0.03258358925587735,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.369433803692429,1.5663933362470275,3458,evaluation_states_K3_n10000.csv
17,16,6.413526630515099,False,True,2.34976846782524,0.031392594847761246,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.377305863445048,1.4667036643885485,3458,evaluation_states_K3_n10000.csv
18,17,6.413526630515099,False,True,2.5497649216246008,0.03020160043964514,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.385177923197666,1.3670139925300695,3458,evaluation_states_K3_n10000.csv
19,18,6.413526630515099,False,True,2.7497613754239616,0.02901060603152903,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.393049982950285,1.2673243206715905,3458,evaluation_states_K3_n10000.csv
20,19,6.413526630515099,False,True,2.9497578292233224,0.027819611623412923,,True,6.032681684175042,-0.1593148209880672,,False,6.37413973283811,1.1968370397865913,,False,5.400922042702904,1.1676346488131115,3458,evaluation_states_K3_n10000.csv
21,20,6.413526630515099,False,True,3.1497542830226832,0.026628617215296815,,True,5.834329461794518,-0.13369459700959443,,False,6.37413973283811,1.1968370397865913,,False,5.408794102455523,1.0679449769546325,3458,evaluation_states_K3_n10000.csv
22,21,6.413526630515099,False,True,3.349750736822044,0.025437622807180708,,True,5.635977239413993,-0.10807437303112166,,False,6.37413973283811,1.1968370397865913,,False,5.416666162208141,0.9682553050961537,3458,evaluation_states_K3_n10000.csv
23,22,6.413526630515099,False,True,3.549747190621405,0.0242466283990646,,True,5.437625017033469,-0.08245414905264886,,False,6.37413973283811,1.1968370397865913,,False,5.42453822196076,0.8685656332376748,3458,evaluation_states_K3_n10000.csv
