idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,agent8_x,agent8_y,agent8_phi,agent8_has_message,agent9_x,agent9_y,agent9_phi,agent9_has_message,agent10_x,agent10_y,agent10_phi,agent10_has_message,agent11_x,agent11_y,agent11_phi,agent11_has_message,agent12_x,agent12_y,agent12_phi,agent12_has_message,agent13_x,agent13_y,agent13_phi,agent13_has_message,agent14_x,agent14_y,agent14_phi,agent14_has_message,agent15_x,agent15_y,agent15_phi,agent15_has_message,jammer_x,jammer_y,file_idx,file
1,0,17.615464044273576,False,True,3.866890147027017,1.6606008237974734,,False,3.5193355914052944,-3.1960336299961223,,False,3.861931597451647,4.86941945291655,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.54227129493284,0.0768885694867622,2,evaluation_states_K15_n10000.csv
2,1,17.615464044273576,False,True,3.6831190439836026,1.5816819940658637,,False,3.5193355914052944,-3.1960336299961223,,False,3.861931597451647,4.86941945291655,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.495695877773054,0.165379984417205,2,evaluation_states_K15_n10000.csv
3,2,17.615464044273576,False,True,3.499347940940188,1.502763164334254,,False,3.5193355914052944,-3.1960336299961223,,False,3.861931597451647,4.86941945291655,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.449120460613267,0.2538713993476478,2,evaluation_states_K15_n10000.csv
4,3,17.615464044273576,False,True,3.315576837896774,1.4238443346026444,,False,3.5193355914052944,-3.1960336299961223,,False,3.857206278555651,4.669475282305524,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.40254504345348,0.34236281427809057,2,evaluation_states_K15_n10000.csv
5,4,17.615464044273576,False,True,3.1318057348533594,1.3449255048710347,,False,3.5193355914052944,-3.1960336299961223,,False,3.852480959659655,4.469531111694498,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.355969626293694,0.43085422920853333,2,evaluation_states_K15_n10000.csv
6,5,17.615464044273576,False,True,2.948034631809945,1.266006675139425,,False,3.483159356896271,-2.999332638496974,,False,3.8477556407636593,4.269586941083472,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.309394209133908,0.5193456441389761,2,evaluation_states_K15_n10000.csv
7,6,17.615464044273576,False,True,2.7642635287665307,1.1870878454078153,,False,3.4469831223872474,-2.8026316469978254,,False,3.8430303218676634,4.069642770472446,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.262818791974121,0.6078370590694189,2,evaluation_states_K15_n10000.csv
8,7,17.615464044273576,False,True,2.5804924257231163,1.1081690156762056,,False,3.410806887878224,-2.605930655498677,,False,3.8383050029716674,3.8696985998614197,,False,5.197619336429441,3.9574815662308014,,False,7.344811348146108,3.497699552306768,,False,8.118041243483356,-4.6316932397193735,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.216243374814335,0.6963284739998616,2,evaluation_states_K15_n10000.csv
9,8,17.615464044273576,False,True,2.396721322679702,1.029250185944596,,False,3.3746306533692003,-2.4092296639995285,,False,3.8335796840756715,3.6697544292503936,,False,5.192894017533446,3.7575373956197753,,False,7.344811348146108,3.497699552306768,,False,8.123485535022413,-4.43176735422768,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.169667957654548,0.7848198889303044,2,evaluation_states_K15_n10000.csv
10,9,17.615464044273576,False,True,2.2129502196362876,0.9503313562129863,,False,3.338454418860177,-2.21252867250038,,False,3.8288543651796756,3.4698102586393675,,False,5.18816869863745,3.557593225008749,,False,7.344811348146108,3.497699552306768,,False,8.12892982656147,-4.231841468735986,,False,10.361777696984662,5.136539430340446,,False,11.013955457983148,1.8189599396824725,,False,12.970460086406751,-6.588231872209854,,False,0.1547851795066801,4.691969521414718,,False,4.529384133681088,-7.2326571766623005,,False,-0.3438021180802693,2.600939116629048,,False,1.83128045579143,7.912502999245817,,False,6.861236673578508,9.025517959138316,,False,5.345233301369863,8.122348592320396,,False,13.123092540494762,0.8733113038607472,2,evaluation_states_K15_n10000.csv
