idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,file
1,0,3.047286498801027,True,False,2.6235788711612726,1.4026718613830036,5.960540267916768,False,evaluation_states_K1_n10000.csv
2,1,3.047286498801027,True,False,2.447204114377312,1.3083747502427432,5.960540267916768,False,evaluation_states_K1_n10000.csv
3,2,3.047286498801027,True,False,2.270829357593351,1.214077639102483,5.960540267916768,False,evaluation_states_K1_n10000.csv
4,3,3.047286498801027,True,False,2.09445460080939,1.1197805279622228,5.960540267916768,False,evaluation_states_K1_n10000.csv
5,4,3.047286498801027,True,False,1.918079844025429,1.0254834168219626,5.960540267916768,False,evaluation_states_K1_n10000.csv
6,5,3.047286498801027,True,False,1.7417050872414679,0.9311863056817024,5.960540267916768,False,evaluation_states_K1_n10000.csv
7,6,3.047286498801027,True,False,1.5653303304575068,0.8368891945414421,5.960540267916768,False,evaluation_states_K1_n10000.csv
8,7,3.047286498801027,True,False,1.3889555736735457,0.7425920834011818,5.960540267916768,False,evaluation_states_K1_n10000.csv
9,8,3.047286498801027,True,False,1.2125808168895846,0.6482949722609215,5.960540267916768,False,evaluation_states_K1_n10000.csv
10,9,3.047286498801027,True,False,1.0362060601056235,0.5539978611206612,5.960540267916768,False,evaluation_states_K1_n10000.csv
11,10,3.047286498801027,True,False,0.8818737839198051,0.4714855557013014,5.960540267916768,False,evaluation_states_K1_n10000.csv
12,11,3.047286498801027,True,False,1.0772951148072036,0.42893554472365414,5.960540267916768,True,evaluation_states_K1_n10000.csv
13,12,3.047286498801027,True,False,1.272716445694602,0.38638553374600687,5.960540267916768,True,evaluation_states_K1_n10000.csv
14,13,3.047286498801027,True,False,1.4681377765820005,0.3438355227683596,5.960540267916768,True,evaluation_states_K1_n10000.csv
15,14,3.047286498801027,True,False,1.663559107469399,0.30128551179071233,5.960540267916768,True,evaluation_states_K1_n10000.csv
16,15,3.047286498801027,True,False,1.8589804383567974,0.25873550081306507,5.960540267916768,True,evaluation_states_K1_n10000.csv
