idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,file
1,0,4.047286498801027,True,False,1.67438548829467,0.8533034762772954,5.200608776207033,False,4.268944079873007,-0.7506658181036512,2.659838524324996,False,evaluation_states_K2_n10000.csv
2,1,4.047286498801027,True,False,1.4961911346219279,0.7624917351908383,5.200608776207033,False,4.268944079873007,-0.7506658181036512,2.659838524324996,False,evaluation_states_K2_n10000.csv
3,2,4.047286498801027,True,False,1.3179967809491857,0.6716799941043812,5.200608776207033,False,4.268944079873007,-0.7506658181036512,2.659838524324996,False,evaluation_states_K2_n10000.csv
4,3,4.047286498801027,True,False,1.1398024272764435,0.5808682530179241,5.200608776207033,False,4.268944079873007,-0.7506658181036512,2.659838524324996,False,evaluation_states_K2_n10000.csv
5,4,4.047286498801027,True,False,0.9616080736037016,0.49005651193146693,5.200608776207033,False,4.107920839014342,-0.6320423975520074,2.267139442626272,False,evaluation_states_K2_n10000.csv
6,5,4.047286498801027,True,False,0.8909717683637102,0.45405870543228555,5.200608776207033,True,3.946897598155676,-0.5134189770003637,1.8744403609275477,False,evaluation_states_K2_n10000.csv
7,6,4.047286498801027,True,False,1.0889338548241396,0.42558042732012696,5.200608776207033,True,3.7858743572970104,-0.3947955564487199,1.4817412792288236,False,evaluation_states_K2_n10000.csv
8,7,4.047286498801027,True,False,1.286895941284569,0.3971021492079684,5.200608776207033,True,3.624851116438345,-0.2761721358970761,1.0890421975300995,False,evaluation_states_K2_n10000.csv
9,8,4.047286498801027,True,False,1.4848580277449985,0.3686238710958098,5.200608776207033,True,3.463827875579679,-0.1575487153454324,0.6963431158313753,False,evaluation_states_K2_n10000.csv
10,9,4.047286498801027,True,False,1.682820114205428,0.3401455929836512,5.5933078579057565,True,3.3028046347210136,-0.03892529479378869,0.3036440341326512,False,evaluation_states_K2_n10000.csv
11,10,4.047286498801027,True,False,1.8807822006658574,0.31166731487149263,5.986006939604481,True,3.141781393862348,0.07969812575785484,6.194130259613513,True,evaluation_states_K2_n10000.csv
