idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,file_idx,file
1,0,7.8032974603703344,False,False,4.214691084026192,-3.919069706737197,,False,0.0749482083343431,-1.7199935919758151,,False,6.273608216172933,3.75469005357274,,False,1.5054217445447868,0.2485713963902532,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
2,1,7.8032974603703344,False,False,4.214691084026192,-3.919069706737197,,False,0.06709450426464476,-1.5397581871093633,,False,6.273608216172933,3.75469005357274,,False,1.5054217445447868,0.2485713963902532,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
3,2,7.8032974603703344,False,False,4.214691084026192,-3.919069706737197,,False,0.059240800194946444,-1.3595227822429115,,False,6.273608216172933,3.75469005357274,,False,1.5054217445447868,0.2485713963902532,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
4,3,7.8032974603703344,False,False,4.214691084026192,-3.919069706737197,,False,0.05138709612524811,-1.1792873773764598,,False,6.273608216172933,3.75469005357274,,False,1.5054217445447868,0.2485713963902532,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
5,4,7.8032974603703344,False,False,4.189346607193405,-3.722215923281676,,False,0.043533392055549784,-0.999051972510008,,True,6.273608216172933,3.75469005357274,,False,1.5277838119990956,0.07488236689040062,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
6,5,7.8032974603703344,False,False,4.164002130360618,-3.525362139826154,,False,0.19459517015581498,-0.9796031122027493,,True,6.273608216172933,3.75469005357274,,False,1.5501458794534044,-0.09880666260945195,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
7,6,7.8032974603703344,False,False,4.138657653527831,-3.328508356370633,,False,0.3456569482560802,-0.9601542518954908,,True,6.298575811238822,3.560763558860194,,False,1.572507946907713,-0.2724956921093046,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
8,7,7.8032974603703344,False,False,4.113313176695045,-3.131654572915111,,False,0.49671872635634534,-0.9407053915882322,,True,6.323543406304712,3.366837064147648,,False,1.5948700143620218,-0.4461847216091571,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
9,8,7.8032974603703344,False,False,4.087968699862258,-2.9348007894595898,,False,0.6477805044566105,-0.9212565312809735,,True,6.348511001370601,3.1729105694351016,,False,1.6172320818163306,-0.6198737511090098,,False,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
10,9,7.8032974603703344,False,False,4.062624223029471,-2.7379470060040685,,False,0.6477805044566105,-0.9212565312809735,,True,6.37347859643649,2.9789840747225558,,False,1.6395941492706394,-0.7935627806088623,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
11,10,7.8032974603703344,False,False,4.037279746196684,-2.5410932225485467,,False,0.6477805044566105,-0.9212565312809735,,True,6.398446191502379,2.7850575800100095,,False,1.8218779583075415,-0.8395398464763643,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
12,11,7.8032974603703344,False,False,4.011935269363897,-2.344239439093025,,False,0.6477805044566105,-0.9212565312809735,,True,6.423413786568268,2.591131085297463,,False,2.0041617673444434,-0.8855169123438661,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
13,12,7.8032974603703344,False,False,3.98659079253111,-2.147385655637504,,False,0.6477805044566105,-0.9212565312809735,,True,6.4483813816341575,2.3972045905849173,,False,2.1864455763813453,-0.931493978211368,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
14,13,7.8032974603703344,False,False,3.961246315698323,-1.9505318721819824,,False,0.6477805044566105,-0.9212565312809735,,True,6.473348976700047,2.2032780958723714,,False,2.3687293854182476,-0.9774710440788699,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
15,14,7.8032974603703344,False,False,3.935901838865536,-1.7536780887264611,,False,0.6477805044566105,-0.9212565312809735,,True,6.498316571765937,2.0093516011598247,,False,2.5510131944551495,-1.0234481099463717,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
16,15,7.8032974603703344,False,False,3.9105573620327494,-1.5568243052709394,,False,0.6477805044566105,-0.9212565312809735,,True,6.523284166831826,1.8154251064472786,,False,2.7332970034920514,-1.0694251758138738,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
17,16,7.8032974603703344,False,False,3.8852128851999623,-1.359970521815418,,True,0.6477805044566105,-0.9212565312809735,,True,6.548251761897715,1.6214986117347325,,False,2.9155808125289537,-1.1154022416813756,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
18,17,7.8032974603703344,False,False,4.032668465478518,-1.260435195446246,,True,0.6477805044566105,-0.9212565312809735,,True,6.573219356963604,1.4275721170221867,,False,2.9155808125289537,-1.1154022416813756,,True,5.54381086254624,-1.0211042390153071,,False,4254,evaluation_states_K5_n10000.csv
