idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,jammer_x,jammer_y,file
1,0,4.047286498801027,False,False,4.268944079873007,-0.7506658181036512,,False,1.67438548829467,0.8533034762772954,,False,,,evaluation_states_K2_n10000.csv
2,1,4.047286498801027,False,False,4.268944079873007,-0.7506658181036512,,False,1.517702744308478,0.7734545221082935,,False,,,evaluation_states_K2_n10000.csv
3,2,4.047286498801027,False,False,4.268944079873007,-0.7506658181036512,,False,1.361020000322286,0.6936055679392914,,False,,,evaluation_states_K2_n10000.csv
4,3,4.047286498801027,False,False,4.268944079873007,-0.7506658181036512,,False,1.2043372563360941,0.6137566137702894,,False,,,evaluation_states_K2_n10000.csv
5,4,4.047286498801027,False,False,4.268944079873007,-0.7506658181036512,,False,1.0476545123499021,0.5339076596012875,,False,,,evaluation_states_K2_n10000.csv
6,5,4.047286498801027,False,False,4.268944079873007,-0.7506658181036512,,False,0.8909717683637102,0.45405870543228555,,False,,,evaluation_states_K2_n10000.csv
7,6,4.047286498801027,False,False,4.117386851897203,-0.6390158680967756,,False,0.8909717683637102,0.45405870543228555,,True,,,evaluation_states_K2_n10000.csv
8,7,4.047286498801027,False,False,3.9658296239213997,-0.5273659180899,,False,1.0869224442638301,0.42586978327892905,,True,,,evaluation_states_K2_n10000.csv
9,8,4.047286498801027,False,False,3.814272395945596,-0.41571596808302436,,False,1.28287312016395,0.3976808611255726,,True,,,evaluation_states_K2_n10000.csv
10,9,4.047286498801027,False,False,3.6627151679697922,-0.30406601807614875,,False,1.47882379606407,0.3694919389722161,,True,,,evaluation_states_K2_n10000.csv
11,10,4.047286498801027,False,False,3.5111579399939883,-0.19241606806927314,,False,1.6747744719641902,0.34130301681885966,,True,,,evaluation_states_K2_n10000.csv
12,11,4.047286498801027,False,False,3.3596007120181848,-0.08076611806239753,,False,1.87072514786431,0.3131140946655031,,True,,,evaluation_states_K2_n10000.csv
13,12,4.047286498801027,False,False,3.2080434840423813,0.03088383194447808,,False,2.06667582376443,0.28492517251214666,,True,,,evaluation_states_K2_n10000.csv
14,13,4.047286498801027,False,False,3.0564862560665773,0.1425337819513537,,False,2.06667582376443,0.28492517251214666,,True,,,evaluation_states_K2_n10000.csv
15,14,4.047286498801027,False,False,3.0574760664988796,0.14239139056079295,,True,2.06667582376443,0.28492517251214666,,True,,,evaluation_states_K2_n10000.csv
