idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,file_idx,file
1,0,2.245904282484672,True,False,0.8096021945666115,-0.7622696736768121,3.768623982213959,False,197,evaluation_states_K1_n10000.csv
2,1,2.245904282484672,True,False,0.7280693106981838,-0.6855035221058107,3.3759249005152348,True,197,evaluation_states_K1_n10000.csv
3,2,2.245904282484672,True,False,0.9103420943747524,-0.603183218833806,2.9832258188165106,True,197,evaluation_states_K1_n10000.csv
4,3,2.245904282484672,True,False,1.0926148780513212,-0.5208629155618014,2.5905267371177865,True,197,evaluation_states_K1_n10000.csv
5,4,2.245904282484672,True,False,1.27488766172789,-0.43854261228979674,2.1978276554190623,True,197,evaluation_states_K1_n10000.csv
6,5,2.245904282484672,True,False,1.4571604454044587,-0.35622230901779206,1.8051285737203382,True,197,evaluation_states_K1_n10000.csv
7,6,2.245904282484672,True,False,1.4571604454044587,-0.35622230901779206,1.412429492021614,True,197,evaluation_states_K1_n10000.csv
8,7,2.245904282484672,True,False,1.4571604454044587,-0.35622230901779206,1.01973041032289,True,197,evaluation_states_K1_n10000.csv
