idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,jammer_x,jammer_y,file_idx,file
1,0,4.813820962704599,False,True,0.4621724022019835,-0.5153352827705667,,False,2.165657282289357,-1.5103087011014384,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,3.001368055237985,0.8300493430268938,1,evaluation_states_K4_n10000.csv
2,1,4.813820962704599,False,True,0.3286397483922058,-0.3664426020689351,,True,2.165657282289357,-1.5103087011014384,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.975033682794153,0.7335791360820059,1,evaluation_states_K4_n10000.csv
3,2,4.813820962704599,False,True,0.5213706020707826,-0.41987309935585,,True,2.165657282289357,-1.5103087011014384,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.948699310350321,0.6371089291371179,1,evaluation_states_K4_n10000.csv
4,3,4.813820962704599,False,True,0.7141014557493593,-0.4733035966427649,,True,2.165657282289357,-1.5103087011014384,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.922364937906489,0.54063872219223,1,evaluation_states_K4_n10000.csv
5,4,4.813820962704599,False,True,0.9068323094279361,-0.5267340939296797,,True,2.165657282289357,-1.5103087011014384,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.896030565462657,0.44416851524734197,1,evaluation_states_K4_n10000.csv
6,5,4.813820962704599,False,True,1.099563163106513,-0.5801645912165946,,True,2.1421370319218656,-1.3116965216595662,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.8696961930188247,0.34769830830245396,1,evaluation_states_K4_n10000.csv
7,6,4.813820962704599,False,True,1.2922940167850898,-0.6335950885035094,,True,2.118616781554374,-1.1130843422176937,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.8433618205749926,0.25122810135756596,1,evaluation_states_K4_n10000.csv
8,7,4.813820962704599,False,True,1.4850248704636666,-0.6870255857904243,,True,2.0950965311868828,-0.9144721627758212,,False,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.8170274481311606,0.15475789441267795,1,evaluation_states_K4_n10000.csv
9,8,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,2.087955997474554,-0.8541753147055339,,True,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.7906930756873285,0.05828768746778995,1,evaluation_states_K4_n10000.csv
10,9,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,2.271993797222451,-0.7758804345156199,,True,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.7643587032434964,-0.038182519477098054,1,evaluation_states_K4_n10000.csv
11,10,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,2.4560315969703477,-0.697585554325706,,True,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.7380243307996643,-0.13465272642198606,1,evaluation_states_K4_n10000.csv
12,11,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,2.6400693967182445,-0.6192906741357921,,True,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.7116899583558323,-0.23112293336687406,1,evaluation_states_K4_n10000.csv
13,12,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,2.8241071964661413,-0.5409957939458782,,True,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.685355585912,-0.32759314031176207,1,evaluation_states_K4_n10000.csv
14,13,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,3.008144996214038,-0.4627009137559643,,True,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.659021213468168,-0.42406334725665007,1,evaluation_states_K4_n10000.csv
15,14,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,3.1921827959619353,-0.3844060335660504,,True,3.875372288714256,-0.1786034469608285,,False,4.836597359316263,-0.5969416805108757,,False,2.632686841024336,-0.5205335542015381,1,evaluation_states_K4_n10000.csv
16,15,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,3.376220595709832,-0.3061111533761365,,True,3.818773943700819,-0.11783645434113281,,True,4.836597359316263,-0.5969416805108757,,False,2.606352468580504,-0.6170037611464261,1,evaluation_states_K4_n10000.csv
17,16,4.813820962704599,False,True,1.6777557241422434,-0.7404560830773392,,True,3.376220595709832,-0.3061111533761365,,True,4.017386123142692,-0.09431620397364122,,True,4.836597359316263,-0.5969416805108757,,False,2.580018096136672,-0.713473968091314,1,evaluation_states_K4_n10000.csv
