idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,agent8_x,agent8_y,agent8_phi,agent8_has_message,jammer_x,jammer_y,file
1,0,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.406864027010013,2.9526894923633558,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,1.3308107181802349,1.110766976774014,,False,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
2,1,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.406864027010013,2.9526894923633558,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,1.190038605182155,0.993270917993557,,False,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
3,2,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.406864027010013,2.9526894923633558,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,1.049266492184075,0.8757748592130999,,False,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
4,3,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.3941114651436783,2.768011895298393,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,0.9084943791859951,0.7582788004326428,,False,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
5,4,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.3813589032773437,2.5833342982334306,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,0.7677222661879152,0.6407827416521858,,False,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
6,5,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.368606341411009,2.398656701168468,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,0.7677222661879152,0.6407827416521858,,True,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
7,6,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.3558537795446743,2.2139791041035055,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,0.9535787977819121,0.6479427268985014,,True,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
8,7,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.074162630896249,-2.2883161664298,,False,-0.6800903402889817,-1.393752740940107,,False,3.3431012176783397,2.029301507038543,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,1.139435329375909,0.6551027121448171,,True,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
9,8,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.087081660439888,-2.10122784978114,,False,-0.6800903402889817,-1.393752740940107,,False,3.3303486558120055,1.8446239099735802,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,1.325291860969906,0.6622626973911327,,True,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
10,9,10.047286498801029,False,False,10.812916530961296,1.012605822607753,,False,5.100000689983526,-1.9141395331324795,,False,-0.6800903402889817,-1.393752740940107,,False,3.317596093945671,1.6599463129086174,,False,5.961518740730355,-3.8084917478034734,,False,3.224481552797408,5.181001715293151,,False,1.5111483925639027,0.6694226826374483,,True,7.999249088967687,3.33447165954184,,False,,,evaluation_states_K8_n10000.csv
