idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,agent8_x,agent8_y,agent8_phi,agent8_has_message,agent9_x,agent9_y,agent9_phi,agent9_has_message,agent10_x,agent10_y,agent10_phi,agent10_has_message,jammer_x,jammer_y,file
1,0,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.699504639527452,3.813089408245452,,False,1.5199333038379903,1.354670767820188,,False,10.402211710964558,4.9066352304822525,,False,2.2303937486601524,2.644173092214206,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
2,1,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.699504639527452,3.813089408245452,,False,1.3910320954876558,1.2397850037883273,,False,10.402211710964558,4.9066352304822525,,False,2.2303937486601524,2.644173092214206,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
3,2,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.699504639527452,3.813089408245452,,False,1.2621308871373214,1.1248992397564668,,False,10.402211710964558,4.9066352304822525,,False,2.2303937486601524,2.644173092214206,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
4,3,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.688393842035162,3.624377761907159,,False,1.1332296787869869,1.0100134757246062,,False,10.402211710964558,4.9066352304822525,,False,2.219307257316396,2.455874274325811,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
5,4,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.677283044542872,3.435666115568867,,False,1.0043284704366524,0.8951277116927455,,False,10.402211710964558,4.9066352304822525,,False,2.2082207659726394,2.2675754564374166,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
6,5,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.666172247050582,3.246954469230574,,False,0.8754272620863178,0.7802419476608848,,False,10.402211710964558,4.9066352304822525,,False,2.197134274628883,2.079276638549022,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
7,6,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.655061449558293,3.0582428228922813,,False,0.7465260537359834,0.6653561836290243,,True,10.402211710964558,4.9066352304822525,,False,2.186047783285127,1.8909778206606271,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
8,7,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.705529116944585,2.407243793548845,,False,7.707095553216422,-6.836103796478036,,False,4.643950652066002,2.869531176553989,,False,0.8958606277453223,0.7159229952459127,,True,10.402211710964558,4.9066352304822525,,False,2.1749612919413703,1.7026790027722325,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
9,8,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.69443984530781,2.2188977536970342,,False,7.707095553216422,-6.836103796478036,,False,4.632839854573713,2.6808195302156967,,False,1.0451952017546613,0.7664898068628012,,True,10.402211710964558,4.9066352304822525,,False,2.163874800597614,1.5143801848838376,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
10,9,12.047286498801029,False,False,-0.8220048756483083,-1.6727886546183703,,False,4.683350573671036,2.030551713845223,,False,7.707095553216422,-6.836103796478036,,False,4.621729057081423,2.492107883877404,,False,1.1945297757640003,0.8170566184796897,,True,10.402211710964558,4.9066352304822525,,False,2.1527883092538573,1.326081366995443,,False,7.568554890795157,5.13119543907491,,False,5.93089717820799,1.196387982244177,,False,6.038020258660906,-6.2745813580118845,,False,,,evaluation_states_K10_n10000.csv
