idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,agent8_x,agent8_y,agent8_phi,agent8_has_message,agent9_x,agent9_y,agent9_phi,agent9_has_message,agent10_x,agent10_y,agent10_phi,agent10_has_message,jammer_x,jammer_y,file_idx,file
1,0,12.595403016047795,False,True,3.808864192612512,-1.294994181024362,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,2.6848950083639966,0.8357411043837364,9,evaluation_states_K10_n10000.csv
2,1,12.595403016047795,False,True,3.619509346010432,-1.2306145097895467,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,2.745059417244259,0.7558646754194382,9,evaluation_states_K10_n10000.csv
3,2,12.595403016047795,False,True,3.4301544994083524,-1.1662348385547314,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,2.8052238261245215,0.6759882464551401,9,evaluation_states_K10_n10000.csv
4,3,12.595403016047795,False,True,3.240799652806273,-1.1018551673199162,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,2.865388235004784,0.596111817490842,9,evaluation_states_K10_n10000.csv
5,4,12.595403016047795,False,True,3.0514448062041932,-1.037475496085101,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,2.9255526438850463,0.5162353885265438,9,evaluation_states_K10_n10000.csv
6,5,12.595403016047795,False,True,2.8620899596021134,-0.9730958248502856,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,2.9857170527653087,0.43635895956224563,9,evaluation_states_K10_n10000.csv
7,6,12.595403016047795,False,True,2.6727351130000336,-0.9087161536154702,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.045881461645571,0.35648253059794743,9,evaluation_states_K10_n10000.csv
8,7,12.595403016047795,False,True,2.483380266397954,-0.8443364823806548,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.1060458705258336,0.27660610163364924,9,evaluation_states_K10_n10000.csv
9,8,12.595403016047795,False,True,2.294025419795874,-0.7799568111458395,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.166210279406096,0.19672967266935104,9,evaluation_states_K10_n10000.csv
10,9,12.595403016047795,False,True,2.1046705731937942,-0.7155771399110241,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.2263746882863584,0.11685324370505284,9,evaluation_states_K10_n10000.csv
11,10,12.595403016047795,False,True,1.9153157265917147,-0.6511974686762088,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.286539097166621,0.03697681474075465,9,evaluation_states_K10_n10000.csv
12,11,12.595403016047795,False,True,1.725960879989635,-0.5868177974413934,,False,5.351896941471489,4.472077163358289,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.3467035060468833,-0.04289961422354355,9,evaluation_states_K10_n10000.csv
13,12,12.595403016047795,False,True,1.5366060333875555,-0.522438126206578,,False,5.346616496298137,4.272146883263524,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.4068679149271457,-0.12277604318784174,9,evaluation_states_K10_n10000.csv
14,13,12.595403016047795,False,True,1.347251186785476,-0.4580584549717627,,False,5.3413360511247845,4.0722166031687586,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.467032323807408,-0.20265247215213994,9,evaluation_states_K10_n10000.csv
15,14,12.595403016047795,False,True,1.1578963401833964,-0.39367878373694737,,False,5.336055605951432,3.8722863230739932,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.5271967326876705,-0.28252890111643814,9,evaluation_states_K10_n10000.csv
16,15,12.595403016047795,False,True,0.9685414935813168,-0.32929911250213206,,False,5.33077516077808,3.672356042979228,,False,6.254998820040077,0.3937909470291297,,False,7.121679089744341,-1.6302387143291648,,False,8.053185646051965,0.8047416433824228,,False,11.832418470234837,1.665966456975431,,False,7.810712617496638,0.8310732748467448,,False,5.823571709645375,3.442175001918497,,False,8.85661018920882,-7.0452691683831,,False,6.143808625532854,-6.043884379985237,,False,3.587361141567933,-0.36240533008073633,9,evaluation_states_K10_n10000.csv
