idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,jammer_x,jammer_y,file
1,0,3.047286498801027,False,False,2.6235788711612726,1.4026718613830036,,False,,,evaluation_states_K1_n10000.csv
2,1,3.047286498801027,False,False,2.4494083624371257,1.3095532308148334,,False,,,evaluation_states_K1_n10000.csv
3,2,3.047286498801027,False,False,2.275237853712979,1.216434600246663,,False,,,evaluation_states_K1_n10000.csv
4,3,3.047286498801027,False,False,2.1010673449888326,1.123315969678493,,False,,,evaluation_states_K1_n10000.csv
5,4,3.047286498801027,False,False,1.9268968362646857,1.0301973391103227,,False,,,evaluation_states_K1_n10000.csv
6,5,3.047286498801027,False,False,1.752726327540539,0.9370787085421525,,False,,,evaluation_states_K1_n10000.csv
7,6,3.047286498801027,False,False,1.5785558188163922,0.8439600779739823,,False,,,evaluation_states_K1_n10000.csv
8,7,3.047286498801027,False,False,1.4043853100922454,0.750841447405812,,False,,,evaluation_states_K1_n10000.csv
9,8,3.047286498801027,False,False,1.2302148013680987,0.6577228168376418,,False,,,evaluation_states_K1_n10000.csv
10,9,3.047286498801027,False,False,1.056044292643952,0.5646041862694715,,False,,,evaluation_states_K1_n10000.csv
11,10,3.047286498801027,False,False,0.8818737839198051,0.4714855557013014,,True,,,evaluation_states_K1_n10000.csv
12,11,3.047286498801027,False,False,1.051631792554695,0.434523341299435,,True,,,evaluation_states_K1_n10000.csv
13,12,3.047286498801027,False,False,1.2213898011895847,0.39756112689756856,,True,,,evaluation_states_K1_n10000.csv
14,13,3.047286498801027,False,False,1.3911478098244747,0.36059891249570214,,True,,,evaluation_states_K1_n10000.csv
15,14,3.047286498801027,False,False,1.5609058184593645,0.32363669809383566,,True,,,evaluation_states_K1_n10000.csv
16,15,3.047286498801027,False,False,1.7306638270942543,0.28667448369196924,,True,,,evaluation_states_K1_n10000.csv
17,16,3.047286498801027,False,False,1.9004218357291442,0.24971226929010285,,True,,,evaluation_states_K1_n10000.csv
18,17,3.047286498801027,False,False,2.0701798443640342,0.2127500548882364,,True,,,evaluation_states_K1_n10000.csv
19,18,3.047286498801027,False,False,2.0701798443640342,0.2127500548882364,,True,,,evaluation_states_K1_n10000.csv
