idx,success,R,value,budget,agent_sum_distance,message_air_distance,delivery_time,directed_transmission,jammer_on,K,file
130,True,6.814916722140431,1.9802338828110173,4.623029262592539,20.906721351467276,None,26,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
131,True,5.164513789991436,2.50910470704449,3.843322780820194,10.190292070342165,None,13,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
132,True,7.4673437430957605,1.1611222055608543,5.304940635945902,32.08561732845149,None,35,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
133,True,5.368134870629833,1.8738967399124093,3.739756160759545,14.903225662201264,None,17,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
134,True,7.746554847860708,2.214877185094693,5.154000614476755,21.547712675710706,None,26,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
135,True,6.603553433168109,1.7361000539334308,4.772047639786145,23.887500741293874,None,28,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
136,True,5.403474354074628,2.2340953476246117,3.597225206899501,10.922364168392548,None,12,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
137,True,7.943768300302192,1.5979851822712028,5.004569993222299,26.397328455899384,None,33,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
138,True,7.659205591934462,1.7849687339960982,5.154000614476755,25.807121321725376,None,28,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
139,True,6.137966809180673,2.169760435782392,4.151471590710395,15.368356459600411,None,17,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
140,True,6.8753972299683435,2.0322848897290218,4.623029262592539,19.99189427363966,None,23,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
141,True,8.653029786101762,0.9202146699592597,5.512288872741185,35.85500908913111,None,39,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
142,True,7.517854635155299,2.277311845061239,5.304940635945902,22.246921126483638,None,25,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
143,True,5.677250771150497,2.740545133766032,4.448018161325668,12.854805454848432,None,15,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
144,True,7.120195290960912,2.068746720340627,4.515905109574911,18.859400999997046,None,21,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
145,True,7.849336626780902,1.56591911926889,5.004569993222299,26.56114892449695,None,29,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
146,True,5.459953465942598,2.581022864194955,4.598541774652541,15.29616198301871,None,17,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
147,True,5.089113933334034,2.2420673475153605,3.802510618795911,12.402414014371548,None,14,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
148,True,8.938027574759937,1.5287576196486485,5.40326229189077,29.49516496244043,None,33,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
149,True,5.019194785078033,2.1805312617432886,3.802510618795911,12.89644426136774,None,14,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
150,True,6.167679000123973,2.0260091861748415,4.151471590710395,16.752848060333474,None,18,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
151,True,5.08950165242843,2.0993252058972014,3.802510618795911,13.48097359826106,None,15,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
152,True,5.612372222494905,2.6480530032188176,4.4063773470982595,13.43471775385287,None,15,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
153,True,8.370771950698876,1.9044633200379621,5.857334376588395,28.803820361353306,None,31,False,False,5,n10000_evaluation_states_K1_to_10/evaluation_states_K5_n10000.csv
