idx,success,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
1,True,9.047286498801027,4.416393622331151,9.352827815558728,24.39999999999995,13.453075877626127,29,True,7,evaluation_states_K7_n10000.csv
2,True,9.164907422189737,5.623578125807089,9.42292066292512,15.799999999999976,6.19727551845128,22,True,7,evaluation_states_K7_n10000.csv
3,True,7.766465036080541,3.9974659449405676,8.610766945518854,25.999999999999943,5.83280112873284,26,True,7,evaluation_states_K7_n10000.csv
4,True,10.307301318226884,3.6880114802861703,10.120741550903706,31.199999999999925,6.00013752232189,39,True,7,evaluation_states_K7_n10000.csv
5,True,10.241097408425196,4.686989273910349,10.079457880199154,25.79999999999994,7.109192235832253,29,True,7,evaluation_states_K7_n10000.csv
6,True,8.252191435279752,4.447605726534471,8.887606154267429,20.599999999999962,4.92187116487165,28,True,7,evaluation_states_K7_n10000.csv
7,True,7.751298970261873,4.597147596601868,8.602213011220812,17.39999999999997,6.289013732131005,25,True,7,evaluation_states_K7_n10000.csv
8,True,10.620010283272517,4.846186911991479,10.317144707208051,24.999999999999943,6.440610631862451,33,True,7,evaluation_states_K7_n10000.csv
9,True,8.005070312684328,5.332278681984107,8.7460615796156,16.999999999999975,5.634630336150773,20,True,7,evaluation_states_K7_n10000.csv
10,True,10.18618444187372,4.026203474747442,10.045293806508994,28.999999999999932,5.6615179679298375,38,True,7,evaluation_states_K7_n10000.csv
11,True,10.538086126472452,5.7980275835569,10.265466724637637,18.39999999999997,8.362274588590024,28,True,7,evaluation_states_K7_n10000.csv
12,True,10.661233074461233,4.358644268210836,10.34320826500477,25.39999999999994,5.8674470994513035,39,True,7,evaluation_states_K7_n10000.csv
13,True,8.000073359728045,4.848933538082083,8.74321437147021,16.59999999999997,6.208920164278567,27,True,7,evaluation_states_K7_n10000.csv
14,True,7.711303134268423,5.241564062773842,8.579680762507595,17.399999999999974,7.132505199030321,17,True,7,evaluation_states_K7_n10000.csv
15,True,8.767717645816152,5.112258066221477,9.18754149974482,19.399999999999963,6.598899778677495,24,True,7,evaluation_states_K7_n10000.csv
16,True,10.949757370865148,3.8223163395918336,10.526757399486318,33.99999999999994,5.519572011817333,40,True,7,evaluation_states_K7_n10000.csv
17,True,7.197935138546866,5.102092930484867,8.293830930760679,15.399999999999977,6.001816166310078,19,True,7,evaluation_states_K7_n10000.csv
18,True,9.226157933702446,4.326076413296137,9.459550889817061,21.799999999999955,6.343878622605424,36,True,7,evaluation_states_K7_n10000.csv
19,True,8.084854595679692,4.643876152933318,8.791601867615896,19.599999999999962,6.240870691800767,26,True,7,evaluation_states_K7_n10000.csv
20,True,7.542084014962722,4.286569844751613,8.48476784991222,19.399999999999967,5.2321367775489405,27,True,7,evaluation_states_K7_n10000.csv
