idx,sucess,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
1,True,7.047286498801027,0.13979451729783765,5.244791884301815,10.2,10.431528608748344,22,True,5,evaluation_states_K5_n10000.csv
2,True,8.00145869052021,3.3775114030383406,5.7118841217099146,10.799999999999997,5.371624556735105,24,True,5,evaluation_states_K5_n10000.csv
3,True,7.5653126765575,-0.3532273415640783,5.496026229662721,12.799999999999986,4.041866955547257,33,True,5,evaluation_states_K5_n10000.csv
4,True,5.028367314412665,2.2153395918415533,4.318990826963166,12.599999999999998,6.2085702318134945,18,True,5,evaluation_states_K5_n10000.csv
5,True,8.074067995585018,3.45871679882711,5.7482047210103815,7.600000000000006,4.959664040738514,27,True,5,evaluation_states_K5_n10000.csv
6,True,8.469282022568796,-0.3037185696660565,5.94782408448681,20.199999999999967,6.413347243792823,35,True,5,evaluation_states_K5_n10000.csv
7,True,7.905894441249481,-2.084824567803797,5.66424838517197,10.0,5.095643358756458,31,True,5,evaluation_states_K5_n10000.csv
8,True,5.851323981361338,3.7127603749544313,4.686117795653771,4.0,4.721931914011596,9,True,5,evaluation_states_K5_n10000.csv
9,True,7.501045937660427,0.333675436515521,5.464554191697998,10.799999999999994,5.146535192074463,24,True,5,evaluation_states_K5_n10000.csv
10,True,8.620010283272517,-2.7074581409488228,6.024812695621135,15.799999999999986,5.126578057441025,41,True,5,evaluation_states_K5_n10000.csv
11,True,7.420546357110058,3.371954577757734,5.425254142997414,9.200000000000003,4.860068252825441,21,True,5,evaluation_states_K5_n10000.csv
12,True,7.041212998954741,0.48177903734619854,5.2418794855681,8.600000000000003,4.763111854589737,16,True,5,evaluation_states_K5_n10000.csv
13,True,7.398097892213109,0.7421788169716383,5.4143188279479855,9.399999999999999,7.365419003331243,19,True,5,evaluation_states_K5_n10000.csv
14,True,5.085855505108766,3.284842760967862,4.344178431126817,4.400000000000002,3.2494354350418706,11,True,5,evaluation_states_K5_n10000.csv
15,True,7.4655351643796415,-2.984316282078387,5.447201126312006,20.59999999999996,5.562258348243775,32,True,5,evaluation_states_K5_n10000.csv
16,True,6.9959458092280595,0.5212235908187624,5.220196912631555,5.000000000000002,5.881767429024874,19,True,5,evaluation_states_K5_n10000.csv
17,True,5.010988590410657,3.1206332723724106,4.311390145260042,6.400000000000004,4.468158223430874,11,True,5,evaluation_states_K5_n10000.csv
18,True,6.9760230213145675,0.09944378596171521,5.210667604159252,8.600000000000001,4.346572884680183,18,True,5,evaluation_states_K5_n10000.csv
19,True,7.657604164606131,2.814316770019928,5.541372735750092,9.600000000000001,5.422941570555066,33,True,5,evaluation_states_K5_n10000.csv
20,True,6.543395976289478,0.1282846841991816,5.005775915825609,7.0000000000000036,5.7682979916897335,18,True,5,evaluation_states_K5_n10000.csv
21,True,6.288338749655743,2.0509817813103943,4.886807797984441,15.79999999999998,5.793757759656176,28,True,5,evaluation_states_K5_n10000.csv
22,True,6.042898887294866,3.471381442239493,4.773604918906429,6.600000000000005,4.762179897990436,14,True,5,evaluation_states_K5_n10000.csv
23,True,6.692727977078564,2.9590204392143535,5.076058797568432,10.599999999999994,5.201569846325162,18,True,5,evaluation_states_K5_n10000.csv
24,True,8.85690267637022,-2.859709742779109,6.14676832132856,22.999999999999957,5.054766311599357,51,True,5,evaluation_states_K5_n10000.csv
25,True,5.080683752239406,3.1356995160547694,4.341909685924891,6.400000000000004,3.077700489217245,15,True,5,evaluation_states_K5_n10000.csv
26,True,6.020849753106418,0.5546367871099465,4.763496741935325,5.799999999999999,4.931833384601647,30,True,5,evaluation_states_K5_n10000.csv
27,False,7.392113871995122,-1.2901767843550043,5.4114056056258075,18.999999999999975,3.3725206860982238,64,True,5,evaluation_states_K5_n10000.csv
28,True,8.153680319373265,0.6905596790897222,5.7881545788047495,7.8000000000000025,4.834166089898668,22,True,5,evaluation_states_K5_n10000.csv
29,True,7.099978595531239,0.7280987904807246,5.270091342759038,6.400000000000003,5.192499513836908,18,True,5,evaluation_states_K5_n10000.csv
30,True,8.321695727872923,-3.409919939810254,5.872898842284408,20.599999999999966,6.529750765713022,32,True,5,evaluation_states_K5_n10000.csv
31,True,7.598931503052958,0.12533909967539136,5.5125239634055925,9.000000000000004,3.0488090713892144,29,True,5,evaluation_states_K5_n10000.csv
32,True,7.437133506245874,0.280869730818162,5.433340980094977,10.799999999999994,4.981461911298114,25,True,5,evaluation_states_K5_n10000.csv
33,True,8.196542764023514,2.4193476347972216,5.809717837438905,17.999999999999968,4.909578879998911,30,True,5,evaluation_states_K5_n10000.csv
34,True,6.448064231841425,4.2257777544817126,4.961151085055173,2.200000000000001,6.408134147598779,7,True,5,evaluation_states_K5_n10000.csv
35,True,6.14080709748807,0.8234302358152088,4.818612150987546,4.000000000000002,4.93457614210963,10,True,5,evaluation_states_K5_n10000.csv
36,True,6.274959331086047,2.8694372596916193,4.880604546799736,9.999999999999996,4.922237061239489,19,True,5,evaluation_states_K5_n10000.csv
37,True,5.741069927920767,0.474713088493393,4.636114299752954,4.600000000000002,4.548943040536399,15,True,5,evaluation_states_K5_n10000.csv
38,True,8.488143072098651,-1.3694512204719995,5.957431982471057,18.999999999999964,5.01938156579674,56,True,5,evaluation_states_K5_n10000.csv
39,True,8.619100910321034,-0.11440631517305277,6.024346789443991,16.39999999999998,7.500535328772201,31,True,5,evaluation_states_K5_n10000.csv
40,True,8.082739195932284,-2.812598178781662,5.752549565766791,13.399999999999984,6.441237328755449,28,True,5,evaluation_states_K5_n10000.csv
41,True,8.884936319203684,-2.688206686355782,6.161277792867661,16.79999999999998,6.594163407941085,46,True,5,evaluation_states_K5_n10000.csv
42,True,7.822833356908273,2.970252176399378,5.6229995972602005,10.799999999999994,5.733036490112441,27,True,5,evaluation_states_K5_n10000.csv
43,True,5.802214669888498,0.6706798969935259,4.6638139881478535,5.000000000000003,4.367663175711008,13,True,5,evaluation_states_K5_n10000.csv
44,True,6.3286441623150065,3.926112090630188,4.905517587317322,4.000000000000002,4.8233955999155045,13,True,5,evaluation_states_K5_n10000.csv
45,True,7.239401077845485,-0.7345324155676889,5.3373122779365145,19.79999999999996,7.248010485609543,34,True,5,evaluation_states_K5_n10000.csv
46,True,6.335953129380926,0.11404896166847145,4.908914037262356,11.59999999999999,7.343652801279936,19,True,5,evaluation_states_K5_n10000.csv
47,True,6.221248774641825,-2.6756127952496027,4.8557396421578005,9.8,5.288937492232641,23,True,5,evaluation_states_K5_n10000.csv
48,True,7.10880258950222,-2.0678282486165385,5.274333727519694,11.599999999999994,4.388350471329975,26,True,5,evaluation_states_K5_n10000.csv
49,True,5.8560419036199285,3.174524325253927,4.688263163024977,6.2,4.671962143987394,16,True,5,evaluation_states_K5_n10000.csv
