idx,sucess,R,value,budget,agent_sum_distance,air_distance,delivery_time,directed_transmission,K,file
1,True,7.047286498801027,-3.1450016860710717,5.244791884301815,5.800000000000003,11.081291892713145,20,True,5,evaluation_states_K5_n10000.csv
2,True,8.00145869052021,0.08365549410281847,5.7118841217099146,11.599999999999994,6.276526863466225,15,True,5,evaluation_states_K5_n10000.csv
3,True,7.5653126765575,0.3150945438811892,5.496026229662721,8.200000000000006,2.92944801418522,27,True,5,evaluation_states_K5_n10000.csv
4,True,5.028367314412665,3.5174074557321937,4.318990826963166,3.8,3.5465975596320414,9,True,5,evaluation_states_K5_n10000.csv
5,True,8.074067995585018,0.0009745914150531831,5.7482047210103815,12.99999999999999,6.964990392239881,25,True,5,evaluation_states_K5_n10000.csv
6,True,8.469282022568796,-2.5968197037728187,5.94782408448681,13.599999999999987,7.307704503435285,30,True,5,evaluation_states_K5_n10000.csv
7,True,7.905894441249481,3.6258184993943994,5.66424838517197,11.199999999999992,7.343201821952446,17,True,5,evaluation_states_K5_n10000.csv
8,True,5.851323981361338,-3.578378833298422,4.686117795653771,7.0000000000000036,5.015307342845705,9,True,5,evaluation_states_K5_n10000.csv
9,True,7.501045937660427,-2.7589861907764126,5.464554191697998,8.600000000000005,5.217811914877991,23,True,5,evaluation_states_K5_n10000.csv
10,True,8.620010283272517,-0.310924034108373,6.024812695621135,11.399999999999991,6.427503367323234,30,True,5,evaluation_states_K5_n10000.csv
11,True,7.420546357110058,3.6999285473156465,5.425254142997414,9.200000000000003,6.253755557787963,15,True,5,evaluation_states_K5_n10000.csv
12,True,7.041212998954741,-6.496266580255636,5.2418794855681,6.600000000000004,6.467704314218696,11,True,5,evaluation_states_K5_n10000.csv
13,True,7.398097892213109,-2.905483553505799,5.4143188279479855,6.2,6.141429816420018,13,True,5,evaluation_states_K5_n10000.csv
14,True,5.085855505108766,-0.20820572303674378,4.344178431126817,6.200000000000004,6.400290327995318,11,True,5,evaluation_states_K5_n10000.csv
15,True,7.4655351643796415,-3.2909267007469376,5.447201126312006,13.799999999999986,6.343497689524522,21,True,5,evaluation_states_K5_n10000.csv
16,True,6.9959458092280595,-6.780240707468666,5.220196912631555,9.399999999999999,6.278135532192309,18,True,5,evaluation_states_K5_n10000.csv
17,True,5.010988590410657,3.387562376279586,4.311390145260042,4.600000000000002,5.1064519513882605,9,True,5,evaluation_states_K5_n10000.csv
18,True,6.9760230213145675,0.26127498977706054,5.210667604159252,7.600000000000005,5.102607311788361,16,True,5,evaluation_states_K5_n10000.csv
19,True,7.657604164606131,0.06043088570371857,5.541372735750092,10.599999999999996,6.831867892306866,17,True,5,evaluation_states_K5_n10000.csv
20,True,6.543395976289478,3.7375630509229825,5.005775915825609,5.000000000000002,5.879383260504817,15,True,5,evaluation_states_K5_n10000.csv
21,True,6.288338749655743,-3.3067925998548526,4.886807797984441,7.400000000000002,5.350041900669273,18,True,5,evaluation_states_K5_n10000.csv
22,True,6.042898887294866,3.5803386254692406,4.773604918906429,5.600000000000003,4.187780950357647,12,True,5,evaluation_states_K5_n10000.csv
23,True,6.692727977078564,0.28635429536910717,5.076058797568432,7.600000000000004,6.138074132053201,15,True,5,evaluation_states_K5_n10000.csv
24,True,8.85690267637022,0.36618514082192277,6.14676832132856,14.799999999999983,6.622672354983228,28,True,5,evaluation_states_K5_n10000.csv
25,True,5.080683752239406,0.013329550623460307,4.341909685924891,3.600000000000002,4.013229740746255,10,True,5,evaluation_states_K5_n10000.csv
26,True,6.020849753106418,3.423761298863418,4.763496741935325,6.600000000000004,4.921923022648051,13,True,5,evaluation_states_K5_n10000.csv
27,True,7.392113871995122,3.451635894225833,5.4114056056258075,9.399999999999999,6.210732840998237,22,True,5,evaluation_states_K5_n10000.csv
28,True,8.153680319373265,0.2509460211045882,5.7881545788047495,11.199999999999992,6.5667476156492715,24,True,5,evaluation_states_K5_n10000.csv
