idx,t,R,directed_transmission,jammer_on,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,agent5_x,agent5_y,agent5_phi,agent5_has_message,agent6_x,agent6_y,agent6_phi,agent6_has_message,agent7_x,agent7_y,agent7_phi,agent7_has_message,agent8_x,agent8_y,agent8_phi,agent8_has_message,agent9_x,agent9_y,agent9_phi,agent9_has_message,jammer_x,jammer_y,file_idx,file
1,0,9.74205221331965,False,True,1.3239301790209597,-1.0802820280656196,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.1324353013084755,-1.2188877251221046,21,test_states_K9_n10000.csv
2,1,9.74205221331965,False,True,1.1689705751931747,-0.9538402581415318,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.1456251274093715,-1.1197613992170852,21,test_states_K9_n10000.csv
3,2,9.74205221331965,False,True,1.0140109713653898,-0.8273984882174441,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.1588149535102675,-1.0206350733120657,21,test_states_K9_n10000.csv
4,3,9.74205221331965,False,True,0.8590513675376048,-0.7009567182933564,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.1720047796111635,-0.9215087474070464,21,test_states_K9_n10000.csv
5,4,9.74205221331965,False,True,0.7040917637098199,-0.5745149483692686,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.1851946057120595,-0.822382421502027,21,test_states_K9_n10000.csv
6,5,9.74205221331965,False,True,0.5491321598820349,-0.4480731784451809,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.1983844318129555,-0.7232560955970077,21,test_states_K9_n10000.csv
7,6,9.74205221331965,False,True,0.39417255605424995,-0.3216314085210932,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.2115742579138515,-0.6241297696919883,21,test_states_K9_n10000.csv
8,7,9.74205221331965,False,True,0.239212952226465,-0.19518963859700544,,False,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.2247640840147475,-0.525003443786969,21,test_states_K9_n10000.csv
9,8,9.74205221331965,False,True,0.08425334839868004,-0.06874786867291768,,True,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.2379539101156435,-0.42587711788194954,21,test_states_K9_n10000.csv
10,9,9.74205221331965,False,True,0.2825290627547829,-0.09495361416082745,,True,3.150924697399513,-1.1242062069665233,,False,6.243938518956498,-2.5261145525886346,,False,6.572706611875873,-0.0747143476608354,,False,7.781060422527848,-0.2913375467733731,,False,8.791052870474585,2.948494593202018,,False,-0.149380774913407,2.9116364655350098,,False,-0.4021713676111762,-1.1975483350372205,,False,6.001256112372654,4.437489089703949,,False,0.2511437362165395,-0.32675079197693013,21,test_states_K9_n10000.csv
