idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
9047,7.97065699312819,3.7374886847510016,5.696509681024089,9.934630242893121,22,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9048,5.420067593328705,2.7994535352750787,4.491971915861441,10.012400717277236,21,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9049,6.899580920939362,3.2498268044385865,5.174181147600103,9.723672106819652,24,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9050,7.162361152662028,2.864584798036958,5.300118318394966,13.48948968390674,28,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9051,8.021506137314296,3.259904251447552,5.721901273869271,10.469718594528084,33,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9052,6.329820626407441,3.2797636646823007,4.906064210689379,5.615111994956294,27,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9053,8.012287859704244,2.8110056719660523,5.71729411702387,13.596608842984574,39,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9054,7.410559177589928,3.480159104174228,5.420387794629926,8.401835065332419,26,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9055,5.393498340249563,3.3366298174710707,4.480137475720271,5.173589381252126,17,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9056,5.941531996351086,3.105715636647366,4.727218145714195,9.095581200677884,20,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9057,8.121453646597297,3.1336973106442314,5.771967171146739,10.0470485983294,38,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9058,8.044431713050828,3.685357297956586,5.733366807323021,8.903894362758878,26,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9059,8.316764636239894,3.5849655317406315,5.870403303939906,9.284583329717128,30,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9060,8.348768146212366,3.4629548188937607,5.886608738147271,10.766882329163545,30,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
9061,5.265568176319604,3.0080356586341215,4.423360843335299,7.029751591039743,20,False,False,True,False,5,Evaluation/Evaluation_states/evaluation_states_K5_n10000.csv
