idx,success,R,value,budget,agent_sum_distance,message_air_distance,delivery_time,directed_transmission,jammer_on,K,file
1,True,5.047286498801027,1.2980965158279993,2.613929160223003,9.876511954230018,None,18,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
2,True,4.813991557922606,1.411960177355783,2.5259746037908895,8.565434697418224,None,16,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
3,True,5.064274342191515,1.6003426755365198,2.620372708075125,7.62799221217306,None,15,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
4,True,6.359526084125635,1.1368947168767567,3.1272402964009944,15.266914429837758,None,31,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
5,True,6.506148385666322,1.3082445358981027,3.186554781592631,14.057439038897002,None,27,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
6,True,4.690867627781749,1.3832331876239876,2.4799577394175834,8.67854615939089,None,18,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
7,True,3.658029065896405,1.6583723931839143,2.104880109087879,3.4383537022627526,None,6,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
8,True,6.469282022568796,1.643204811676351,3.1716038122490366,11.01465344316157,None,20,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
9,True,4.504954005712377,1.6373601167909995,2.4110000386681767,5.814437021615031,None,10,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
10,True,4.252191435279751,1.4442057888514663,2.3182632202723488,6.763572759524288,None,12,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
11,True,5.024259690117492,1.6033948946802106,2.605203454759215,7.585667454549419,None,15,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
12,True,3.9275995138485538,1.428254960673904,2.200889897587767,6.055671748232275,None,11,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
13,True,5.566054358022413,1.834913787519187,2.813084793775977,7.137423964763493,None,14,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
14,True,6.99610352929575,1.0751110221596232,3.3876187766351356,17.12519689485439,None,33,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
15,True,5.248206360398838,1.5888767848904302,2.690477382668415,8.246713260452077,None,15,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
16,True,5.116891230521441,1.5651238491477342,2.6403640344118733,8.156976411289726,None,15,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
17,True,3.1839487226820626,1.705830202693131,1.939262802244221,1.8767584893547566,None,4,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
18,True,5.398097892213109,1.619719181736916,2.7480662038422565,8.654950087284174,None,18,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
19,True,3.3274319883089682,1.5209766804520057,1.9889532290657144,3.605980555157324,None,8,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
20,True,4.356779571120694,1.634847785428688,2.3564938743426875,5.517751472848838,None,12,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
21,True,6.147179043757994,0.6398002261445834,3.042036027429285,19.228659808560625,None,39,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
22,True,4.10853333948796,1.5267261687985367,2.2660778922540854,5.726282026607366,None,11,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
23,True,4.597164053946381,1.1806056207212257,2.4451227335369388,10.003523437336828,None,21,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
24,True,3.273638542166889,1.421725421791908,1.9702795355993699,4.3232576620682135,None,8,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
25,True,3.97397084811233,1.4949423973065468,2.217539682696247,5.599975062849541,None,10,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
26,True,5.492375162887731,1.2904226719244365,2.7844987698720676,11.458327511344402,None,22,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
27,True,5.702712351876473,1.6288627792148516,2.866368688826668,9.209897006528154,None,17,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
28,True,4.543395976289478,1.6087887322191305,2.4252067032807765,6.209165756767562,None,11,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
29,True,6.846946992639689,1.479889054290707,3.325943297987705,13.375981057944546,None,24,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
30,True,3.839984020046898,1.3798629067669923,2.1695388238816613,6.150261544983586,None,11,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
31,True,3.6315240113050526,1.6865011128437524,2.0955120167105648,3.2034189736686196,None,6,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
32,True,3.5263741989987607,1.2724044840460147,2.058474135684474,6.215327937709238,None,12,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
33,True,3.0082273722584794,1.4578852834055107,1.8789217991826312,3.3163953443639587,None,6,False,False,3,n10000_evaluation_states_K1_to_10/evaluation_states_K3_n10000.csv
