idx,R,value,budget,agent_sum_distance,delivery_time,directed_transmission,jammer_on,clustering_on,minimize_distance,K,file
8194,3.0692533633514865,1.5855012229193364,1.899813395877265,2.0847336728203234,8,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8195,3.2183704281990524,1.59089408039276,1.9511491613615255,2.2661288472183263,9,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8196,3.652500704262968,1.6999218507039877,2.10292507192501,2.456397114923182,10,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8197,5.060247117950536,1.5732662239871789,2.6188446897043414,6.753432611510449,19,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8198,5.607469817197105,1.4247821172333834,2.829196823727453,8.75838279213738,26,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8199,6.535591860397446,1.663157632792248,3.1985133253506435,8.833506483733592,30,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8200,4.356033540669273,1.597614919085696,2.3562204640395974,5.055745462706374,14,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8201,6.810015502851824,1.8008397042109576,3.310735285034801,7.818141038557714,30,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8202,4.766168725080865,1.5495475968091956,2.50806809679516,5.871596730521161,21,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8203,4.894584675462604,1.81181241438949,2.5562462596474793,3.890095678955194,18,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8204,3.367092302379956,1.5842441816776889,2.002754751668664,2.2478992865406155,13,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8205,6.310979444708622,1.8462110280810986,3.1076880894575147,6.436593674601628,27,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8206,6.062684739804377,1.850583600512849,3.008362500433024,7.072667966066384,20,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8207,3.506235451400617,1.7568046156920485,2.051403599829486,1.1347504749445572,10,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8208,6.219839674918149,1.5640912575676633,3.0710981108139817,8.85565255117537,30,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8209,4.680989787993423,1.5018303136984577,2.4762779913489705,5.911912147885052,20,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8210,6.149688272331107,1.4694537713820919,3.0430380310332175,9.926379301006543,27,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8211,3.062284191827464,1.5784272470793057,1.8974241224153883,1.6765163990014833,9,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8212,5.983899776305938,1.2409495886904622,2.9770821896458157,11.43617868003776,31,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8213,4.896652640589053,1.670286091411704,2.5570245762720276,5.304642624282139,19,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
8214,3.5769705939573933,1.714852575629579,2.0762708754109958,1.8453728569083543,11,False,False,True,False,3,Evaluation/Evaluation_states/Data/evaluation_states_K3_n10000.csv
