episode_idx,idx,t,R,directed_transmission,jammer_on,agent0_x,agent0_y,agent0_phi,agent0_has_message,agent1_x,agent1_y,agent1_phi,agent1_has_message,agent2_x,agent2_y,agent2_phi,agent2_has_message,agent3_x,agent3_y,agent3_phi,agent3_has_message,agent4_x,agent4_y,agent4_phi,agent4_has_message,jammer_x,jammer_y
40,40.0,0.0,5.365359804715072,True,False,1.892454114735672,-1.7696215786169331,3.44091351672436,False,4.388405954087432,2.62623014215834,0.7468240055419909,False,0.1563694740463406,0.6363944658393336,1.727221884366552,False,3.3558814113788826,-1.8385790986250448,4.815773768590806,False,4.699979271813156,1.8091386059341588,2.2474840648211143,False,,
40,40.0,1.0,5.365359804715072,True,False,1.892454114735672,-1.5696215786169332,3.0482144350256357,False,4.388405954087432,2.4262301421583397,0.7468240055419909,False,0.1563694740463406,0.43639446583933356,1.334522802667828,True,3.3558814113788826,-1.6385790986250448,4.815773768590806,False,4.699979271813156,1.6091386059341588,1.8547849831223902,False,,
40,40.0,2.0,5.365359804715072,True,False,1.892454114735672,-1.3696215786169332,2.6555153533269116,False,4.388405954087432,2.2262301421583395,0.35412492384326677,False,0.2977908302836501,0.29497310960202405,0.9418237209691038,True,3.3558814113788826,-1.4385790986250448,5.20847285028953,False,4.699979271813156,1.4091386059341588,1.462085901423666,False,,
40,40.0,3.0,5.365359804715072,True,False,1.892454114735672,-1.1696215786169333,2.2628162716281874,False,4.388405954087432,2.0262301421583393,0.35412492384326677,False,0.4392121865209596,0.15355175336471455,0.5491246392703797,True,3.3558814113788826,-1.238579098625045,5.6011719319882545,False,4.699979271813156,1.209138605934159,1.0693868197249419,False,,
40,40.0,4.0,5.365359804715072,True,False,1.892454114735672,-0.9696215786169333,1.8701171899294633,False,4.388405954087432,1.8262301421583393,0.35412492384326677,False,0.6392121865209597,0.15355175336471455,0.15642555757165555,True,3.3558814113788826,-1.038579098625045,5.993871013686979,False,4.699979271813156,1.009138605934159,0.6766877380262177,False,,
40,40.0,5.0,5.365359804715072,True,False,1.892454114735672,-0.7696215786169334,1.4774181082307392,False,4.388405954087432,1.6262301421583394,0.35412492384326677,False,0.8392121865209596,0.15355175336471455,6.046911783052518,True,3.3558814113788826,-0.838579098625045,5.993871013686979,False,4.699979271813156,0.809138605934159,0.2839886563274936,False,,
40,40.0,6.0,5.365359804715072,True,False,2.0338754709729816,-0.6282002223796239,1.084719026532015,True,4.388405954087432,1.4262301421583394,0.35412492384326677,False,0.9806335427582691,0.012130397127405046,6.046911783052518,True,3.3558814113788826,-0.638579098625045,5.993871013686979,False,4.699979271813156,0.809138605934159,0.2839886563274936,False,,
40,40.0,7.0,5.365359804715072,True,False,2.233875470972982,-0.6282002223796239,0.6920199448332909,True,4.388405954087432,1.2262301421583395,6.244611149324129,False,0.9806335427582691,0.012130397127405046,6.046911783052518,True,3.3558814113788826,-0.438579098625045,5.993871013686979,True,4.699979271813156,0.609138605934159,6.174474881808356,False,,
40,40.0,8.0,5.365359804715072,True,False,2.233875470972982,-0.6282002223796239,0.6920199448332909,True,4.388405954087432,1.0262301421583395,6.244611149324129,False,0.9806335427582691,0.012130397127405046,6.046911783052518,True,3.4973027676161923,-0.2971577423877355,0.1033847882061174,True,4.699979271813156,0.609138605934159,6.174474881808356,False,,
40,40.0,9.0,5.365359804715072,True,False,2.233875470972982,-0.6282002223796239,0.6920199448332909,True,4.388405954087432,0.8262301421583396,6.244611149324129,True,0.9806335427582691,0.012130397127405046,6.046911783052518,True,3.638724123853502,-0.155736386150426,0.49608386990484155,True,4.699979271813156,0.609138605934159,6.174474881808356,True,,
40,40.0,10.0,5.365359804715072,True,False,2.233875470972982,-0.6282002223796239,0.6920199448332909,True,4.388405954087432,0.8262301421583396,6.244611149324129,True,0.9806335427582691,0.012130397127405046,6.046911783052518,True,3.638724123853502,-0.155736386150426,0.49608386990484155,True,4.841400628050465,0.4677172496968495,6.174474881808356,True,,
